event_i,event_j,delta_t_days,time_score,sky_norm_sep,sky_step_weight,sky_log_overlap,snr_ratio,ang_sep_deg,combined_time_sky_z
GW150914,GW151012,28.002754629629628,0.6858932,8.353775,-0.5,-33.53589,-1.0280821,96.8882,1.2951607512453138
GW150914,GW151226,102.74176157407187,-0.1447218,8.220297,-0.5,-31.950523,-0.71649456,75.02626,0.6211195844233555
GW150914,GW170104,478.01474768518295,1.9128149,11.933427,-0.5,-69.415146,-0.6334279,111.55726,1.8022676249246434
GW150914,GW170608,632.6739826388878,-2.816653,15.504363,-0.5,-117.70853,-0.5302437,102.34551,-2.8706567099020566
GW150914,GW170729,684.3789918981465,-2.816653,7.430992,-0.5,-25.66163,-0.8878528,64.12618,-1.5298222273489657
GW150914,GW170809,694.9427939814798,-2.816653,10.888411,-0.5,-56.58888,-0.70865136,64.84881,-1.9803351982478248
GW150914,GW170814,700.02776736111,-2.816653,7.987349,-0.5,-28.808739,-0.3845319,38.942257,-1.5756657181733202
GW150914,GW170818,703.6905636574052,-2.816653,27.74344,-0.5,-381.57565,-0.7731899,123.4077,-6.7143728744311115
GW150914,GW170823,709.1411354166655,-2.816653,7.70215,-0.5,-28.349535,-0.7566606,91.35711,-1.5689765606970567
GW150914,GW190408_181802,1302.3522893518514,-1.8056234,24.126062,-0.5,-288.4042,-0.577075,148.1135,-4.508600288947333
GW150914,GW190412,1305.81944097222,-1.8056234,21.869606,-0.5,-236.41425,-0.2724146,127.94284,-3.751269691407774
GW150914,GW190413_134308,1307.1613923611105,-1.8056234,5.943029,-0.5,-15.508599,-0.89724255,46.335537,-0.5333675033342149
GW150914,GW190421_213856,1315.4918032407402,-1.8056234,4.7644887,-0.5,-9.725388,-0.8878528,48.3315,-0.4491242532446301
GW150914,GW190503_185404,1327.3773124999996,-1.8056234,3.750425,-0.5,-3.9664128,-0.7566606,18.503168,-0.36523405900101147
GW150914,GW190512_180714,1336.3447916666667,-1.8056234,13.972211,-0.5,-94.864784,-0.71649456,80.8894,-1.68933814268738
