catalog,seed,k_injected_pairs,event_i,event_j,idx_i,idx_j,is_true_pair,pair_class,injected_pair_id_i,injected_pair_id_j,delta_t_days,time_score,sky_norm_sep,sky_step_weight,sky_log_overlap,ang_sep_deg,snr_ratio,combined_time_sky,rank_i_to_j,rank_j_to_i
gwtc3,20260617,20,GW150914,GW151012,0,1,False,background_pair,,,28.002754,1.315564,8.353775,-0.5,-33.53589,96.8882,2.795699,3.4981172,4,4
gwtc3,20260617,20,GW150914,GW151226,0,2,False,background_pair,,,102.74176,0.3344939,8.220297,-0.5,-31.950523,75.02626,2.047244,2.5895622,5,6
gwtc3,20260617,20,GW150914,GW170104,0,3,False,background_pair,,,478.01474,-1.8111612,11.933427,-0.5,-69.415146,111.55726,1.884058,0.042900503,47,90
gwtc3,20260617,20,GW150914,GW170608,0,4,False,background_pair,,,632.674,-2.9844513,15.504363,-0.5,-117.70853,102.34551,1.6993464,-1.7298317,90,95
gwtc3,20260617,20,GW150914,GW170729,0,5,False,background_pair,,,684.37897,-2.9844513,7.430992,-0.5,-25.66163,64.12618,2.4299066,-0.47141027,74,73
gwtc3,20260617,20,GW150914,GW170809,0,6,False,background_pair,,,694.9428,-2.9844513,10.888411,-0.5,-56.58888,64.84881,2.03125,-0.8942329,85,84
gwtc3,20260617,20,GW150914,GW170814,0,7,False,background_pair,,,700.0278,-2.9844513,7.987349,-0.5,-28.808739,38.942257,1.4689265,-0.514436,78,75
gwtc3,20260617,20,GW150914,GW170818,0,8,False,background_pair,,,703.69055,-2.9844513,27.74344,-0.5,-381.57565,123.4077,2.1666667,-5.3372974,102,96
gwtc3,20260617,20,GW150914,GW170823,0,9,False,background_pair,,,709.1411,-2.9844513,7.70215,-0.5,-28.349535,91.35711,2.1311476,-0.508158,77,82
gwtc3,20260617,20,GW150914,GW190408_181802,0,10,False,background_pair,,,1302.3523,-2.6897078,24.126062,-0.5,-288.4042,148.1135,1.7808219,-3.7840326,100,101
gwtc3,20260617,20,GW150914,GW190412,0,11,False,background_pair,,,1305.8195,-2.6897078,21.869606,-0.5,-236.41425,127.94284,1.3131313,-3.0732505,99,96
gwtc3,20260617,20,GW150914,GW190413_134308,0,12,False,background_pair,,,1307.1614,-2.6897078,5.943029,-0.5,-15.508599,46.335537,2.45283,-0.053133488,53,81
gwtc3,20260617,20,GW150914,GW190421_213856,0,13,False,background_pair,,,1315.4918,-2.6897078,4.7644887,-0.5,-9.725388,48.3315,2.4299066,0.025931835,48,76
gwtc3,20260617,20,GW150914,GW190503_185404,0,14,False,background_pair,,,1327.3773,-2.6897078,3.750425,-0.5,-3.9664128,18.503168,2.1311476,0.104665816,31,74
gwtc3,20260617,20,GW150914,GW190512_180714,0,15,False,background_pair,,,1336.3448,-2.6897078,13.972211,-0.5,-94.864784,80.8894,2.047244,-1.1380535,88,92
gwtc3,20260617,20,GW150914,GW190513_205428,0,16,False,background_pair,,,1337.4609,-2.6897078,17.491425,-0.5,-150.59206,121.45495,2.08,-1.8999304,93,101
gwtc3,20260617,20,GW150914,GW190517_055101,0,17,False,background_pair,,,1340.8335,-2.6897078,8.7262,-0.5,-35.77406,63.181065,2.4074075,-0.33019322,72,86
gwtc3,20260617,20,GW150914,GW190519_153544,0,18,False,background_pair,,,1343.2396,-2.6897078,18.559011,-0.5,-169.99701,139.70354,1.6352202,-2.1652257,97,101
gwtc3,20260617,20,GW150914,GW190521,0,19,False,background_pair,,,1344.7166,-2.6897078,13.243968,-0.5,-85.91943,124.19722,1.8181819,-1.015757,86,99
gwtc3,20260617,20,GW150914,GW190521_074359,0,20,False,background_pair,,,1344.912,-2.6897078,18.477951,-0.5,-168.36427,130.23396,1.003861,-2.1429038,95,99
gwtc3,20260617,20,GW150914,GW190602_175927,0,21,False,background_pair,,,1357.3394,-2.6897078,5.4587016,-0.5,-12.866362,45.16509,1.969697,-0.017010033,52,74
gwtc3,20260617,20,GW150914,GW190620_030421,0,22,False,background_pair,,,1374.7178,-2.7539773,5.4397373,-0.5,-14.840422,127.17253,2.1487603,-0.104937404,57,98
gwtc3,20260617,20,GW150914,GW190630_185205,0,23,False,background_pair,,,1385.376,-2.7539773,10.6699915,-0.5,-55.090416,97.49008,1.5853659,-0.6552162,81,93
gwtc3,20260617,20,GW150914,GW190701_203306,0,24,False,background_pair,,,1386.446,-2.7539773,16.950699,-0.5,-140.42433,76.72452,2.3214285,-1.821861,92,92
gwtc3,20260617,20,GW150914,GW190706_222641,0,25,False,background_pair,,,1391.525,-2.7539773,7.5361857,-0.5,-27.420948,105.737015,1.9402986,-0.27693242,67,94
gwtc3,20260617,20,GW150914,GW190707_093326,0,26,False,background_pair,,,1391.988,-2.7539773,7.9188704,-0.5,-29.674122,78.137535,1.9847329,-0.30773675,71,90
gwtc3,20260617,20,GW150914,GW190708_232457,0,27,False,background_pair,,,1393.5654,-2.7539773,3.416391,-0.5,-6.2365274,95.41207,1.9402986,0.012690902,49,90
gwtc3,20260617,20,GW150914,GW190720_000836,0,28,False,background_pair,,,1404.5957,-2.7539773,24.746439,-0.5,-303.493,146.6316,2.3853211,-4.0512586,101,99
