catalog,k_injected_pairs,seed,score,queries,median_rank,mean_rank,mrr,recall_at_1,recall_at_5,recall_at_10,recall_at_50
gwtc3,20,20260617,time_lr,40,2.0,8.275,0.5975517816009838,0.475,0.75,0.825,0.975
gwtc3,20,20260617,sky_log_overlap,40,12.0,13.7,0.19346170612124042,0.05,0.35,0.475,0.975
gwtc3,20,20260617,sky_step,40,7.5,8.7,0.4158699162305889,0.35,0.4,0.625,1.0
gwtc3,20,20260617,combined_time_sky,40,1.0,5.8,0.7004118240516546,0.6,0.8,0.875,0.975
gwtc3,20,20260618,time_lr,40,4.0,8.725,0.3919753696506746,0.225,0.6,0.8,0.975
gwtc3,20,20260618,sky_log_overlap,40,5.0,6.9,0.298946116179572,0.05,0.525,0.775,1.0
gwtc3,20,20260618,sky_step,40,1.0,3.025,0.7479140406162464,0.7,0.825,0.95,1.0
gwtc3,20,20260618,combined_time_sky,40,3.0,5.25,0.5195458464537411,0.35,0.825,0.925,0.975
gwtc3,20,20260619,time_lr,40,3.0,8.3,0.4678926720351139,0.325,0.625,0.725,0.975
gwtc3,20,20260619,sky_log_overlap,40,4.0,9.275,0.3082597644558901,0.1,0.6,0.675,1.0
gwtc3,20,20260619,sky_step,40,1.0,4.4,0.6143858225108225,0.55,0.675,0.875,1.0
gwtc3,20,20260619,combined_time_sky,40,2.0,4.825,0.6015413625117573,0.475,0.775,0.825,1.0
gwtc3,20,20260620,time_lr,40,4.0,11.35,0.3859447025545505,0.225,0.625,0.775,0.95
gwtc3,20,20260620,sky_log_overlap,40,7.5,10.225,0.30154327131495806,0.15,0.45,0.6,1.0
gwtc3,20,20260620,sky_step,40,3.5,7.375,0.5212507740874031,0.45,0.525,0.775,1.0
gwtc3,20,20260620,combined_time_sky,40,2.5,6.725,0.5263495545867849,0.375,0.75,0.825,0.975
gwtc3,20,20260621,time_lr,40,3.0,5.975,0.4538221380069206,0.275,0.725,0.775,1.0
gwtc3,20,20260621,sky_log_overlap,40,4.0,8.575,0.30241373550841805,0.075,0.6,0.725,1.0
gwtc3,20,20260621,sky_step,40,1.0,5.475,0.6007007290095525,0.55,0.575,0.8,1.0
gwtc3,20,20260621,combined_time_sky,40,2.0,3.525,0.5221636002886003,0.325,0.775,0.975,1.0
gwtc3,20,20260622,time_lr,40,3.5,12.5,0.3657694744503405,0.175,0.55,0.725,0.925
gwtc3,20,20260622,sky_log_overlap,40,2.0,6.975,0.4167379494522958,0.15,0.725,0.8,1.0
gwtc3,20,20260622,sky_step,40,5.0,6.25,0.5196631245058019,0.45,0.6,0.8,1.0
gwtc3,20,20260622,combined_time_sky,40,3.0,7.9,0.4705131724892754,0.325,0.625,0.775,1.0
gwtc3,20,20260623,time_lr,40,2.0,3.475,0.6224458874458876,0.475,0.875,0.95,1.0
gwtc3,20,20260623,sky_log_overlap,40,3.0,5.9,0.4164880685302343,0.2,0.775,0.8,1.0
gwtc3,20,20260623,sky_step,40,1.0,3.05,0.7143064574314574,0.65,0.775,0.95,1.0
gwtc3,20,20260623,combined_time_sky,40,1.0,2.65,0.6817460317460318,0.525,0.925,0.95,1.0
gwtc3,20,20260624,time_lr,40,2.5,6.85,0.4808929216649805,0.325,0.625,0.775,1.0
gwtc3,20,20260624,sky_log_overlap,40,4.0,8.2,0.29316117216117216,0.075,0.575,0.775,1.0
gwtc3,20,20260624,sky_step,40,6.0,6.225,0.5153824455506839,0.45,0.475,0.85,1.0
gwtc3,20,20260624,combined_time_sky,40,1.5,4.575,0.6088988095238095,0.5,0.75,0.9,1.0
gwtc3,20,20260625,time_lr,40,2.0,6.375,0.5605242673992674,0.4,0.8,0.875,0.975
gwtc3,20,20260625,sky_log_overlap,40,3.0,7.875,0.38685165528915527,0.15,0.65,0.75,1.0
gwtc3,20,20260625,sky_step,40,1.0,3.925,0.6984423359207842,0.65,0.725,0.925,1.0
gwtc3,20,20260625,combined_time_sky,40,1.0,3.45,0.6928960506103969,0.55,0.9,0.925,1.0
gwtc3,20,20260626,time_lr,40,2.0,6.425,0.5412984296179436,0.35,0.825,0.9,0.975
gwtc3,20,20260626,sky_log_overlap,40,3.0,6.025,0.39181182121971597,0.125,0.75,0.875,1.0
gwtc3,20,20260626,sky_step,40,2.0,4.6,0.5869132494044835,0.5,0.675,0.95,1.0
gwtc3,20,20260626,combined_time_sky,40,1.0,4.05,0.7531278801843319,0.65,0.9,0.925,0.975
