catalog,k_injected_pairs,seed,score,queries,median_rank,mean_rank,mrr,recall_at_1,recall_at_5,recall_at_10,recall_at_50
gwtc3,10,20260617,time_lr,20,8.0,17.7,0.44399292490989717,0.35,0.5,0.5,0.9
gwtc3,10,20260617,sky_log_overlap,20,5.0,8.75,0.33510604376703446,0.1,0.5,0.6,1.0
gwtc3,10,20260617,sky_step,20,1.0,4.25,0.6961422349580244,0.65,0.7,0.8,1.0
gwtc3,10,20260617,combined_time_sky,20,3.0,10.85,0.5173285508372083,0.45,0.55,0.6,0.95
gwtc3,10,20260618,time_lr,20,2.5,5.1,0.5423235735735735,0.4,0.75,0.95,1.0
gwtc3,10,20260618,sky_log_overlap,20,3.0,6.2,0.35930335523870993,0.1,0.6,0.8,1.0
gwtc3,10,20260618,sky_step,20,2.0,3.5,0.5982954545454545,0.5,0.8,0.95,1.0
gwtc3,10,20260618,combined_time_sky,20,1.5,3.2,0.62625,0.5,0.8,0.95,1.0
gwtc3,10,20260619,time_lr,20,2.0,2.65,0.631031746031746,0.45,0.85,1.0,1.0
gwtc3,10,20260619,sky_log_overlap,20,3.5,6.25,0.27658730158730155,0.0,0.65,0.7,1.0
gwtc3,10,20260619,sky_step,20,2.5,4.8,0.5464850427350427,0.45,0.6,0.85,1.0
gwtc3,10,20260619,combined_time_sky,20,1.5,1.8,0.7041666666666667,0.5,1.0,1.0,1.0
gwtc3,10,20260620,time_lr,20,2.5,8.1,0.49469339622641506,0.35,0.6,0.9,0.95
gwtc3,10,20260620,sky_log_overlap,20,11.0,12.0,0.20584516451689133,0.0,0.35,0.45,1.0
gwtc3,10,20260620,sky_step,20,7.5,6.75,0.46460317460317463,0.4,0.4,0.8,1.0
gwtc3,10,20260620,combined_time_sky,20,2.0,4.85,0.5410185185185185,0.3,0.85,0.9,1.0
gwtc3,10,20260621,time_lr,20,2.0,8.55,0.5073818067897016,0.3,0.8,0.85,0.95
gwtc3,10,20260621,sky_log_overlap,20,2.0,7.55,0.38146915584415586,0.1,0.7,0.75,1.0
gwtc3,10,20260621,sky_step,20,3.0,5.85,0.5558916083916083,0.5,0.55,0.75,1.0
gwtc3,10,20260621,combined_time_sky,20,2.0,6.65,0.5731452726017944,0.35,0.8,0.85,0.95
gwtc3,10,20260622,time_lr,20,4.5,11.65,0.4714712054693672,0.4,0.55,0.7,0.95
gwtc3,10,20260622,sky_log_overlap,20,2.5,4.9,0.41499542124542127,0.15,0.7,0.9,1.0
gwtc3,10,20260622,sky_step,20,1.0,2.6,0.748392857142857,0.7,0.75,1.0,1.0
gwtc3,10,20260622,combined_time_sky,20,2.5,6.15,0.4796360342555994,0.3,0.7,0.75,1.0
