catalog,k_injected_pairs,score,median_rank_mean,median_rank_std,mean_rank_mean,mean_rank_std,mrr_mean,mrr_std,recall_at_1_mean,recall_at_1_std,recall_at_5_mean,recall_at_5_std,recall_at_10_mean,recall_at_10_std,recall_at_50_mean,recall_at_50_std
gwtc3,10,combined_time_sky,1.65,0.7090682462060882,5.654999999999999,2.753830665333897,0.6090547671091778,0.07656173290778537,0.47000000000000003,0.11595018087284058,0.775,0.11843892002959913,0.835,0.11559027256266469,0.99,0.02108185106778923
gwtc3,10,sky_log_overlap,4.2,3.1198290551460244,6.625,2.814668916784194,0.36681528757367377,0.09958768280171496,0.1,0.08819171036881969,0.64,0.17919573407620817,0.7550000000000001,0.16236105170610074,1.0,0.0
gwtc3,10,sky_step,2.8,2.2010098692292237,4.385,1.8318251372151584,0.6205794686264887,0.1330423502186856,0.55,0.14907119849998596,0.6900000000000001,0.1760681686165901,0.8550000000000001,0.12572014777097407,1.0,0.0
gwtc3,10,time_lr,2.85,2.0145305491189087,9.07,4.371193582230525,0.5334514605973893,0.056418372029539136,0.4,0.06666666666666668,0.6849999999999999,0.12258783698955529,0.7899999999999999,0.14869805348796972,0.96,0.03944053188733078
gwtc3,20,combined_time_sky,1.8,0.8232726023485646,4.875,1.603684992620295,0.6077194132446383,0.0960619278130946,0.46749999999999997,0.11788058929837998,0.8025,0.0901002528051701,0.89,0.06368324391514268,0.99,0.012909944487358053
gwtc3,20,sky_log_overlap,4.75,2.9556913084947,8.365,2.325976497445033,0.33096752602326523,0.07075362780537875,0.1125,0.05034602488997738,0.6,0.1343709624716425,0.725,0.11547005383792512,0.9974999999999999,0.007905694150420934
gwtc3,20,sky_step,2.9,2.4585451886114367,5.3025,1.8584062018598386,0.5934828895267824,0.10451415332215233,0.53,0.1110555416597179,0.625,0.1348867838019887,0.85,0.1040832999733066,1.0,0.0
gwtc3,20,time_lr,2.8,0.8232726023485646,7.825,2.64317780122505,0.4868117644426663,0.09089855066960909,0.325,0.1034139470499238,0.7,0.10992421631894099,0.8125,0.07476816018719315,0.975,0.02357022603955158
gwtc3,50,combined_time_sky,3.4,0.699205898780101,8.827,1.426238642957996,0.45579419989149866,0.026020341311049775,0.302,0.03326659986633238,0.64,0.06359594676112972,0.769,0.046535530034110026,0.967,0.014944341180973262
gwtc3,50,sky_log_overlap,5.7,1.3984117975602022,12.701,1.8771399639996067,0.29372869850568406,0.02281593006990902,0.11299999999999999,0.026267851073127395,0.507,0.06912950809089334,0.655,0.0705927286151579,0.9640000000000001,0.017763883459298985
gwtc3,50,sky_step,2.0,1.632993161855452,7.011,1.6553378305751771,0.5995728641245319,0.071315902373194,0.556,0.07876829593462363,0.592,0.07208020224413605,0.747,0.05850925852660698,0.998,0.004216370213557832
gwtc3,50,time_lr,5.4,1.1254628677422756,14.518,2.298660479496701,0.34569083609611184,0.03307833266540955,0.203,0.05186520991955976,0.51,0.053748384988657,0.642,0.050946595132114136,0.933,0.026687491868330755
gwtc5,10,combined_time_sky,14.8,8.759756465412343,21.515,7.255497915374244,0.26161663708484356,0.10592042919737396,0.155,0.11413929112175955,0.37,0.14375905768565217,0.5,0.17480147469502527,0.8300000000000001,0.1273664878302853
gwtc5,10,sky_log_overlap,4.25,1.2747548783981961,7.165000000000001,2.3170922870413833,0.33043984908778834,0.05424504517997629,0.085,0.06258327785172862,0.615,0.147290340635238,0.7849999999999999,0.08181958472422385,0.99,0.03162277660168382
gwtc5,10,sky_step,2.9,1.6124515496597098,4.255,1.5473005166705298,0.6029787603780024,0.1323596021358176,0.515,0.15643600040343086,0.7,0.12247448713915887,0.9099999999999999,0.07745966692414834,1.0,0.0
gwtc5,10,time_lr,26.0,14.847371634213392,34.825,10.611321260280876,0.18344476630910136,0.07852877238963198,0.1,0.07817359599705716,0.26,0.14102797200870787,0.335,0.131339255365637,0.72,0.12516655570345725
gwtc5,20,combined_time_sky,12.25,5.073077085074807,22.1175,7.454147335544153,0.24286285946701688,0.0643931957208781,0.1325,0.06351946333386502,0.3225,0.09606855191303065,0.5125,0.1292338534939235,0.85,0.09279607271383368
gwtc5,20,sky_log_overlap,3.55,1.0394977419675118,7.4975,2.8251216787954463,0.36474184737840354,0.06227306476659988,0.13999999999999999,0.06368324391514267,0.6275000000000001,0.0740213933040082,0.7875,0.07288689868556628,0.9925,0.01687371394276384
gwtc5,20,sky_step,2.55,1.7709068612185992,4.4475,1.7636944337258529,0.5989044080837347,0.11542785020274082,0.5125,0.13806701271484076,0.6950000000000001,0.11291589790636214,0.9025000000000001,0.07495368940589618,1.0,0.0
gwtc5,20,time_lr,24.6,10.002221975363497,36.2,10.942069680315917,0.17807093172434796,0.06132040286825568,0.0925,0.057795136281332336,0.22999999999999998,0.08563488385776752,0.3125,0.09223309842157773,0.7375,0.11008204011352422
gwtc5,50,combined_time_sky,15.85,3.037268509697489,31.436,2.851191563773529,0.2135389852217649,0.03550839643301356,0.123,0.040565447804203465,0.281,0.0395671019352638,0.41,0.043969686527576386,0.758,0.05028805910838962
gwtc5,50,sky_log_overlap,5.05,0.955975359979999,10.219,1.773956344195401,0.3097074532725926,0.034040681420312066,0.123,0.03233505150074073,0.529,0.05971227307309237,0.716,0.05758086101783781,0.977,0.021108186931983446
gwtc5,50,sky_step,2.55,1.8020050561034013,6.2299999999999995,1.3275625116062226,0.5755305994714532,0.06489855116861457,0.511,0.074602651129538,0.615,0.07137537701787953,0.8029999999999999,0.063779132776934,0.993,0.010593499054713804
gwtc5,50,time_lr,33.65,6.7702371532399885,52.498000000000005,4.571556506146337,0.15297329973439958,0.03005955533181313,0.084,0.02547329756605707,0.20099999999999998,0.05279941077112298,0.265,0.062227182341981574,0.612,0.048716869083853635
