dataset,data_type,event_name,detector,url,doi_or_source,local_path,download_status,duration_s,gps_start
GWTC-3/O1-O3,skymap_or_pe,GW150914,,,LVK/GWOSC/Zenodo,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW150914_095045_PEDataRelease_mixed_cosmo.h5,,,
GWTC-3/O1-O3,skymap_or_pe,GW151012,,,LVK/GWOSC/Zenodo,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW151012_095443_PEDataRelease_mixed_cosmo.h5,,,
GWTC-3/O1-O3,skymap_or_pe,GW151226,,,LVK/GWOSC/Zenodo,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW151226_033853_PEDataRelease_mixed_cosmo.h5,,,
GWTC-3/O1-O3,skymap_or_pe,GW170104,,,LVK/GWOSC/Zenodo,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW170104_101158_PEDataRelease_mixed_cosmo.h5,,,
GWTC-3/O1-O3,skymap_or_pe,GW170608,,,LVK/GWOSC/Zenodo,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW170608_020116_PEDataRelease_mixed_cosmo.h5,,,
GWTC-3/O1-O3,skymap_or_pe,GW170729,,,LVK/GWOSC/Zenodo,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW170729_185629_PEDataRelease_mixed_cosmo.h5,,,
GWTC-3/O1-O3,skymap_or_pe,GW170809,,,LVK/GWOSC/Zenodo,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW170809_082821_PEDataRelease_mixed_cosmo.h5,,,
GWTC-3/O1-O3,skymap_or_pe,GW170814,,,LVK/GWOSC/Zenodo,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW170814_103043_PEDataRelease_mixed_cosmo.h5,,,
GWTC-3/O1-O3,skymap_or_pe,GW170818,,,LVK/GWOSC/Zenodo,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW170818_022509_PEDataRelease_mixed_cosmo.h5,,,
GWTC-3/O1-O3,skymap_or_pe,GW170823,,,LVK/GWOSC/Zenodo,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW170823_131358_PEDataRelease_mixed_cosmo.h5,,,
GWTC-3/O1-O3,skymap_or_pe,GW190408_181802,,,LVK/GWOSC/Zenodo,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW190408_181802_PEDataRelease_mixed_cosmo.h5,,,
GWTC-3/O1-O3,skymap_or_pe,GW190412,,,LVK/GWOSC/Zenodo,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW190412_053044_PEDataRelease_mixed_cosmo.h5,,,
GWTC-3/O1-O3,skymap_or_pe,GW190413_134308,,,LVK/GWOSC/Zenodo,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW190413_134308_PEDataRelease_mixed_cosmo.h5,,,
GWTC-3/O1-O3,skymap_or_pe,GW190421_213856,,,LVK/GWOSC/Zenodo,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW190421_213856_PEDataRelease_mixed_cosmo.h5,,,
GWTC-3/O1-O3,skymap_or_pe,GW190503_185404,,,LVK/GWOSC/Zenodo,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW190503_185404_PEDataRelease_mixed_cosmo.h5,,,
GWTC-3/O1-O3,skymap_or_pe,GW190512_180714,,,LVK/GWOSC/Zenodo,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW190512_180714_PEDataRelease_mixed_cosmo.h5,,,
GWTC-3/O1-O3,skymap_or_pe,GW190513_205428,,,LVK/GWOSC/Zenodo,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW190513_205428_PEDataRelease_mixed_cosmo.h5,,,
GWTC-3/O1-O3,skymap_or_pe,GW190517_055101,,,LVK/GWOSC/Zenodo,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW190517_055101_PEDataRelease_mixed_cosmo.h5,,,
