dataset,data_type,event_name,detector,url,doi_or_source,local_path,download_status,duration_s,gps_start
GWTC-3/O1-O3,strain_hdf5_4khz,GW150914,H1,https://gwosc.org/archive/data/O1/1126170624/H-H1_LOSC_4_V1-1126256640-4096.hdf5,GWOSC,data/real_strain/GW150914/H-H1_LOSC_4_V1-1126256640-4096.hdf5,already_exists,4096.0,1126256640.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW150914,L1,https://gwosc.org/archive/data/O1/1126170624/L-L1_LOSC_4_V1-1126256640-4096.hdf5,GWOSC,data/real_strain/GW150914/L-L1_LOSC_4_V1-1126256640-4096.hdf5,already_exists,4096.0,1126256640.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW151012,H1,https://gwosc.org/archive/data/O1/1128267776/H-H1_LOSC_4_V1-1128677376-4096.hdf5,GWOSC,data/real_strain/GW151012/H-H1_LOSC_4_V1-1128677376-4096.hdf5,already_exists,4096.0,1128677376.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW151012,L1,https://gwosc.org/archive/data/O1/1128267776/L-L1_LOSC_4_V1-1128677376-4096.hdf5,GWOSC,data/real_strain/GW151012/L-L1_LOSC_4_V1-1128677376-4096.hdf5,already_exists,4096.0,1128677376.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW151226,H1,https://gwosc.org/archive/data/O1/1134559232/H-H1_LOSC_4_V1-1135132672-4096.hdf5,GWOSC,data/real_strain/GW151226/H-H1_LOSC_4_V1-1135132672-4096.hdf5,already_exists,4096.0,1135132672.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW151226,L1,https://gwosc.org/archive/data/O1/1134559232/L-L1_LOSC_4_V1-1135132672-4096.hdf5,GWOSC,data/real_strain/GW151226/L-L1_LOSC_4_V1-1135132672-4096.hdf5,already_exists,4096.0,1135132672.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW170104,H1,https://gwosc.org/archive/data/O2_4KHZ_R1/1167065088/H-H1_GWOSC_O2_4KHZ_R1-1167556608-4096.hdf5,GWOSC,data/real_strain/GW170104/H-H1_GWOSC_O2_4KHZ_R1-1167556608-4096.hdf5,already_exists,4096.0,1167556608.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW170104,L1,https://gwosc.org/archive/data/O2_4KHZ_R1/1167065088/L-L1_GWOSC_O2_4KHZ_R1-1167556608-4096.hdf5,GWOSC,data/real_strain/GW170104/L-L1_GWOSC_O2_4KHZ_R1-1167556608-4096.hdf5,already_exists,4096.0,1167556608.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW170608,H1,,GWOSC,,no_gwosc_url,,
GWTC-3/O1-O3,strain_hdf5_4khz,GW170608,L1,https://gwosc.org/archive/data/O2_4KHZ_R1/1180696576/L-L1_GWOSC_O2_4KHZ_R1-1180921856-4096.hdf5,GWOSC,data/real_strain/GW170608/L-L1_GWOSC_O2_4KHZ_R1-1180921856-4096.hdf5,already_exists,4096.0,1180921856.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW170729,H1,https://gwosc.org/archive/data/O2_4KHZ_R1/1184890880/H-H1_GWOSC_O2_4KHZ_R1-1185386496-4096.hdf5,GWOSC,data/real_strain/GW170729/H-H1_GWOSC_O2_4KHZ_R1-1185386496-4096.hdf5,already_exists,4096.0,1185386496.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW170729,L1,https://gwosc.org/archive/data/O2_4KHZ_R1/1184890880/L-L1_GWOSC_O2_4KHZ_R1-1185386496-4096.hdf5,GWOSC,data/real_strain/GW170729/L-L1_GWOSC_O2_4KHZ_R1-1185386496-4096.hdf5,already_exists,4096.0,1185386496.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW170809,H1,https://gwosc.org/archive/data/O2_4KHZ_R1/1185939456/H-H1_GWOSC_O2_4KHZ_R1-1186299904-4096.hdf5,GWOSC,data/real_strain/GW170809/H-H1_GWOSC_O2_4KHZ_R1-1186299904-4096.hdf5,already_exists,4096.0,1186299904.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW170809,L1,https://gwosc.org/archive/data/O2_4KHZ_R1/1185939456/L-L1_GWOSC_O2_4KHZ_R1-1186299904-4096.hdf5,GWOSC,data/real_strain/GW170809/L-L1_GWOSC_O2_4KHZ_R1-1186299904-4096.hdf5,already_exists,4096.0,1186299904.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW170814,H1,https://gwosc.org/archive/data/O2_4KHZ_R1/1185939456/H-H1_GWOSC_O2_4KHZ_R1-1186738176-4096.hdf5,GWOSC,data/real_strain/GW170814/H-H1_GWOSC_O2_4KHZ_R1-1186738176-4096.hdf5,already_exists,4096.0,1186738176.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW170814,L1,https://gwosc.org/archive/data/O2_4KHZ_R1/1185939456/L-L1_GWOSC_O2_4KHZ_R1-1186738176-4096.hdf5,GWOSC,data/real_strain/GW170814/L-L1_GWOSC_O2_4KHZ_R1-1186738176-4096.hdf5,already_exists,4096.0,1186738176.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW170818,H1,https://gwosc.org/archive/data/O2_4KHZ_R1/1186988032/H-H1_GWOSC_O2_4KHZ_R1-1187057664-4096.hdf5,GWOSC,data/real_strain/GW170818/H-H1_GWOSC_O2_4KHZ_R1-1187057664-4096.hdf5,already_exists,4096.0,1187057664.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW170818,L1,https://gwosc.org/archive/data/O2_4KHZ_R1/1186988032/L-L1_GWOSC_O2_4KHZ_R1-1187057664-4096.hdf5,GWOSC,data/real_strain/GW170818/L-L1_GWOSC_O2_4KHZ_R1-1187057664-4096.hdf5,already_exists,4096.0,1187057664.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW170823,H1,https://gwosc.org/archive/data/O2_4KHZ_R1/1186988032/H-H1_GWOSC_O2_4KHZ_R1-1187528704-4096.hdf5,GWOSC,data/real_strain/GW170823/H-H1_GWOSC_O2_4KHZ_R1-1187528704-4096.hdf5,already_exists,4096.0,1187528704.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW170823,L1,https://gwosc.org/archive/data/O2_4KHZ_R1/1186988032/L-L1_GWOSC_O2_4KHZ_R1-1187528704-4096.hdf5,GWOSC,data/real_strain/GW170823/L-L1_GWOSC_O2_4KHZ_R1-1187528704-4096.hdf5,already_exists,4096.0,1187528704.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW190408_181802,H1,https://gwosc.org/archive/data/O3a_4KHZ_R1/1238368256/H-H1_GWOSC_O3a_4KHZ_R1-1238781952-4096.hdf5,GWOSC,data/real_strain/GW190408_181802/H-H1_GWOSC_O3a_4KHZ_R1-1238781952-4096.hdf5,already_exists,4096.0,1238781952.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW190408_181802,L1,https://gwosc.org/archive/data/O3a_4KHZ_R1/1238368256/L-L1_GWOSC_O3a_4KHZ_R1-1238781952-4096.hdf5,GWOSC,data/real_strain/GW190408_181802/L-L1_GWOSC_O3a_4KHZ_R1-1238781952-4096.hdf5,already_exists,4096.0,1238781952.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW190412,H1,https://gwosc.org/archive/data/O3a_4KHZ_R1/1238368256/H-H1_GWOSC_O3a_4KHZ_R1-1239080960-4096.hdf5,GWOSC,data/real_strain/GW190412/H-H1_GWOSC_O3a_4KHZ_R1-1239080960-4096.hdf5,already_exists,4096.0,1239080960.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW190412,L1,https://gwosc.org/archive/data/O3a_4KHZ_R1/1238368256/L-L1_GWOSC_O3a_4KHZ_R1-1239080960-4096.hdf5,GWOSC,data/real_strain/GW190412/L-L1_GWOSC_O3a_4KHZ_R1-1239080960-4096.hdf5,already_exists,4096.0,1239080960.0
