experiment,lens_fraction,seed,method,budget,n_events,n_true_pairs,n_false_pairs_estimated,base_positive_rate,true_recovered,false_candidates,recall,precision,enrichment_over_base_rate,false_pair_tail_samples,false_tail_model,false_tail_threshold,false_tail_fraction
rarity_fixed_budget_scan,0.01,0,time_delay + sky_localization,50,2933,52,4299726.0,1.2093647625528574e-05,0,50,0.0,0.0,0.0,350000,gpd,1.814903317752167,0.04999714285714286
rarity_fixed_budget_scan,0.01,0,time_delay + sky_localization,100,2933,52,4299726.0,1.2093647625528574e-05,0,100,0.0,0.0,0.0,350000,gpd,1.814903317752167,0.04999714285714286
rarity_fixed_budget_scan,0.01,0,time_delay + sky_localization,200,2933,52,4299726.0,1.2093647625528574e-05,0,200,0.0,0.0,0.0,350000,gpd,1.814903317752167,0.04999714285714286
rarity_fixed_budget_scan,0.01,0,calibrated surrogate waveform_embedding only,50,2933,52,4299726.0,1.2093647625528574e-05,9,41,0.17307692307692307,0.18,14883.846923076922,350000,gpd,1.5263972640037535,0.05
rarity_fixed_budget_scan,0.01,0,calibrated surrogate waveform_embedding only,100,2933,52,4299726.0,1.2093647625528574e-05,11,89,0.21153846153846154,0.11,9095.684230769231,350000,gpd,1.5263972640037535,0.05
rarity_fixed_budget_scan,0.01,0,calibrated surrogate waveform_embedding only,200,2933,52,4299726.0,1.2093647625528574e-05,12,188,0.23076923076923078,0.06,4961.282307692308,350000,gpd,1.5263972640037535,0.05
rarity_fixed_budget_scan,0.01,0,calibrated surrogate waveform_embedding + time_delay + sky_localization,50,2933,52,4299726.0,1.2093647625528574e-05,28,22,0.5384615384615384,0.56,46305.30153846154,350000,gpd,1.5240304620965301,0.05
rarity_fixed_budget_scan,0.01,0,calibrated surrogate waveform_embedding + time_delay + sky_localization,100,2933,52,4299726.0,1.2093647625528574e-05,42,58,0.8076923076923077,0.42,34728.97615384615,350000,gpd,1.5240304620965301,0.05
rarity_fixed_budget_scan,0.01,0,calibrated surrogate waveform_embedding + time_delay + sky_localization,200,2933,52,4299726.0,1.2093647625528574e-05,45,155,0.8653846153846154,0.225,18604.808653846154,350000,gpd,1.5240304620965301,0.05
rarity_fixed_budget_scan,0.01,1,time_delay + sky_localization,50,3008,52,4522476.0,1.1497994042270164e-05,0,50,0.0,0.0,0.0,350000,gpd,1.752292119497791,0.05
rarity_fixed_budget_scan,0.01,1,time_delay + sky_localization,100,3008,52,4522476.0,1.1497994042270164e-05,0,100,0.0,0.0,0.0,350000,gpd,1.752292119497791,0.05
rarity_fixed_budget_scan,0.01,1,time_delay + sky_localization,200,3008,52,4522476.0,1.1497994042270164e-05,0,200,0.0,0.0,0.0,350000,gpd,1.752292119497791,0.05
rarity_fixed_budget_scan,0.01,1,calibrated surrogate waveform_embedding only,50,3008,52,4522476.0,1.1497994042270164e-05,15,35,0.28846153846153844,0.3,26091.507692307692,350000,gpd,1.4726272881031037,0.05
rarity_fixed_budget_scan,0.01,1,calibrated surrogate waveform_embedding only,100,3008,52,4522476.0,1.1497994042270164e-05,16,84,0.3076923076923077,0.16,13915.47076923077,350000,gpd,1.4726272881031037,0.05
rarity_fixed_budget_scan,0.01,1,calibrated surrogate waveform_embedding only,200,3008,52,4522476.0,1.1497994042270164e-05,17,183,0.3269230769230769,0.085,7392.593846153847,350000,gpd,1.4726272881031037,0.05
rarity_fixed_budget_scan,0.01,1,calibrated surrogate waveform_embedding + time_delay + sky_localization,50,3008,52,4522476.0,1.1497994042270164e-05,27,23,0.5192307692307693,0.54,46964.71384615385,350000,gpd,1.4711583984247454,0.05
rarity_fixed_budget_scan,0.01,1,calibrated surrogate waveform_embedding + time_delay + sky_localization,100,3008,52,4522476.0,1.1497994042270164e-05,27,73,0.5192307692307693,0.27,23482.356923076924,350000,gpd,1.4711583984247454,0.05
rarity_fixed_budget_scan,0.01,1,calibrated surrogate waveform_embedding + time_delay + sky_localization,200,3008,52,4522476.0,1.1497994042270164e-05,47,153,0.9038461538461539,0.235,20438.347692307692,350000,gpd,1.4711583984247454,0.05
rarity_fixed_budget_scan,0.01,2,time_delay + sky_localization,50,2975,57,4423768.0,1.2884777313749978e-05,0,50,0.0,0.0,0.0,350000,gpd,1.9709062833694764,0.05
rarity_fixed_budget_scan,0.01,2,time_delay + sky_localization,100,2975,57,4423768.0,1.2884777313749978e-05,0,100,0.0,0.0,0.0,350000,gpd,1.9709062833694764,0.05
rarity_fixed_budget_scan,0.01,2,time_delay + sky_localization,200,2975,57,4423768.0,1.2884777313749978e-05,0,200,0.0,0.0,0.0,350000,gpd,1.9709062833694764,0.05
rarity_fixed_budget_scan,0.01,2,calibrated surrogate waveform_embedding only,50,2975,57,4423768.0,1.2884777313749978e-05,5,45,0.08771929824561403,0.1,7761.096491228071,350000,gpd,1.5246115386486054,0.05
