method,grouping_kind,snr_group,lens_subset,n_queries,recall_at_1,recall_at_5,recall_at_10,recall_at_50,median_rank,mean_rank,mrr
waveform_score,query_snr,all,all,6000,0.6018333333333333,0.7915,0.851,0.9385,1.0,41.409666666666666,0.6870163807425509
waveform_score,query_snr,low_snr_lt8,all,2,0.0,0.0,0.0,0.5,3837.0,3837.0,0.011693429188774064
waveform_score,query_snr,high_snr_ge8,all,5998,0.6020340113371123,0.7917639213071024,0.8512837612537513,0.938646215405135,1.0,40.144048016005335,0.6872415634539728
waveform_score,query_snr,all,SIS,3000,0.654,0.835,0.8873333333333333,0.9613333333333334,1.0,28.150333333333332,0.7351295318283683
waveform_score,query_snr,low_snr_lt8,SIS,2,0.0,0.0,0.0,0.5,3837.0,3837.0,0.011693429188774064
waveform_score,query_snr,high_snr_ge8,SIS,2998,0.6544362908605738,0.8355570380253502,0.8879252835223482,0.9616410940627085,1.0,25.60940627084723,0.7356121443051126
waveform_score,query_snr,all,PM,3000,0.5496666666666666,0.748,0.8146666666666667,0.9156666666666666,1.0,54.669,0.6389032296567337
waveform_score,query_snr,low_snr_lt8,PM,0,,,,,,,
waveform_score,query_snr,high_snr_ge8,PM,3000,0.5496666666666666,0.748,0.8146666666666667,0.9156666666666666,1.0,54.669,0.6389032296567337
waveform_score,pair_min_snr,all,all,6000,0.6018333333333333,0.7915,0.851,0.9385,1.0,41.409666666666666,0.6870163807425509
waveform_score,pair_min_snr,low_snr_lt8,all,4,0.0,0.0,0.0,0.5,3794.0,3812.25,0.01421318245389664
waveform_score,pair_min_snr,high_snr_ge8,all,5996,0.6022348232154769,0.7920280186791194,0.8515677118078719,0.9387925283522348,1.0,38.89409606404269,0.6874652154312026
waveform_score,pair_min_snr,all,SIS,3000,0.654,0.835,0.8873333333333333,0.9613333333333334,1.0,28.150333333333332,0.7351295318283683
waveform_score,pair_min_snr,low_snr_lt8,SIS,4,0.0,0.0,0.0,0.5,3794.0,3812.25,0.01421318245389664
waveform_score,pair_min_snr,high_snr_ge8,SIS,2996,0.6548731642189586,0.8361148197596796,0.8885180240320427,0.9619492656875834,1.0,23.098130841121495,0.7360920369677202
waveform_score,pair_min_snr,all,PM,3000,0.5496666666666666,0.748,0.8146666666666667,0.9156666666666666,1.0,54.669,0.6389032296567337
waveform_score,pair_min_snr,low_snr_lt8,PM,0,,,,,,,
waveform_score,pair_min_snr,high_snr_ge8,PM,3000,0.5496666666666666,0.748,0.8146666666666667,0.9156666666666666,1.0,54.669,0.6389032296567337
