dataset,score_name,snr_group,threshold_source,target_value,threshold,n_true_pairs,n_false_pairs,true_pair_count_above_threshold,false_pair_count_above_threshold,candidate_count_above_threshold,recall,precision,false_pair_exceedance_rate
constructed_et3_full_pair_catalog,final_score,all,target_false_pair_exceedance_rate_within_snr_group,0.01,4.230512619018555,3000,40492500,3000,404925,407925,1.0,0.007354293068578783,0.01
constructed_et3_full_pair_catalog,final_score,all,target_false_pair_exceedance_rate_within_snr_group,0.001,6.481482028961182,3000,40492500,2998,40493,43491,0.9993333333333333,0.068933802395898,0.0010000123479656728
constructed_et3_full_pair_catalog,final_score,all,target_false_pair_exceedance_rate_within_snr_group,0.0001,9.602198600769043,3000,40492500,2963,4050,7013,0.9876666666666667,0.422501069442464,0.00010001852194850898
constructed_et3_full_pair_catalog,final_score,all,target_false_pair_exceedance_rate_within_snr_group,1e-05,13.162940979003906,3000,40492500,2619,405,3024,0.873,0.8660714285714286,1.0001852194850899e-05
constructed_et3_full_pair_catalog,final_score,all,target_recall_within_snr_group,0.1,19.626209259033203,3000,40492500,301,85,386,0.10033333333333333,0.7797927461139896,2.0991541643514233e-06
constructed_et3_full_pair_catalog,final_score,all,target_recall_within_snr_group,0.5,16.295757293701172,3000,40492500,1501,201,1702,0.5003333333333333,0.881903642773208,4.963882200407483e-06
constructed_et3_full_pair_catalog,final_score,all,target_recall_within_snr_group,0.9,12.73320198059082,3000,40492500,2701,505,3206,0.9003333333333333,0.8424828446662508,1.2471445329381984e-05
constructed_et3_full_pair_catalog,final_score,low_snr_lt8,target_false_pair_exceedance_rate_within_snr_group,0.01,5.310238361358643,2,188767,2,1888,1890,1.0,0.0010582010582010583,0.010001748186918265
constructed_et3_full_pair_catalog,final_score,low_snr_lt8,target_false_pair_exceedance_rate_within_snr_group,0.001,8.977563858032227,2,188767,1,189,190,0.5,0.005263157894736842,0.001001234325915017
constructed_et3_full_pair_catalog,final_score,low_snr_lt8,target_false_pair_exceedance_rate_within_snr_group,0.0001,11.97382926940918,2,188767,0,19,19,0.0,0.0,0.00010065318620309694
constructed_et3_full_pair_catalog,final_score,low_snr_lt8,target_false_pair_exceedance_rate_within_snr_group,1e-05,14.63685131072998,2,188767,0,2,2,0.0,0.0,1.059507223190494e-05
constructed_et3_full_pair_catalog,final_score,low_snr_lt8,target_recall_within_snr_group,0.1,7.6011962890625,2,188767,2,468,470,1.0,0.00425531914893617,0.002479246902265756
constructed_et3_full_pair_catalog,final_score,low_snr_lt8,target_recall_within_snr_group,0.5,7.6011962890625,2,188767,2,468,470,1.0,0.00425531914893617,0.002479246902265756
constructed_et3_full_pair_catalog,final_score,low_snr_lt8,target_recall_within_snr_group,0.9,7.6011962890625,2,188767,2,468,470,1.0,0.00425531914893617,0.002479246902265756
constructed_et3_full_pair_catalog,final_score,high_snr_ge8,target_false_pair_exceedance_rate_within_snr_group,0.01,4.22660493850708,2998,40303733,2998,403038,406036,1.0,0.007383581751371799,0.01000001662377031
constructed_et3_full_pair_catalog,final_score,high_snr_ge8,target_false_pair_exceedance_rate_within_snr_group,0.001,6.460278034210205,2998,40303733,2996,40304,43300,0.9993328885923949,0.06919168591224019,0.0010000066246965262
constructed_et3_full_pair_catalog,final_score,high_snr_ge8,target_false_pair_exceedance_rate_within_snr_group,0.0001,9.562341690063477,2998,40303733,2962,4031,6993,0.9879919946631087,0.42356642356642354,0.00010001554942813858
constructed_et3_full_pair_catalog,final_score,high_snr_ge8,target_false_pair_exceedance_rate_within_snr_group,1e-05,13.112622261047363,2998,40303733,2629,404,3033,0.8769179452968646,0.8667985492911309,1.002388538054279e-05
constructed_et3_full_pair_catalog,final_score,high_snr_ge8,target_recall_within_snr_group,0.1,19.626209259033203,2998,40303733,301,85,386,0.10040026684456305,0.7797927461139896,2.1089857855102404e-06
constructed_et3_full_pair_catalog,final_score,high_snr_ge8,target_recall_within_snr_group,0.5,16.299110412597656,2998,40303733,1500,201,1701,0.5003335557038026,0.8818342151675485,4.987131092794804e-06
constructed_et3_full_pair_catalog,final_score,high_snr_ge8,target_recall_within_snr_group,0.9,12.747781753540039,2998,40303733,2699,490,3189,0.9002668445630421,0.8463468171840702,1.2157682763529622e-05
