dataset,snr_group,threshold_source,target_value,threshold,n_null_pairs,candidate_count_above_threshold,null_pair_exceedance_rate
real_gwtc3_null_catalog,all,catalog_tail_fraction_within_snr_group,0.1,3.2156198024749756,1953,196,0.1003584229390681
real_gwtc3_null_catalog,all,catalog_tail_fraction_within_snr_group,0.05,3.8049938678741455,1953,98,0.05017921146953405
real_gwtc3_null_catalog,all,catalog_tail_fraction_within_snr_group,0.01,6.176810264587402,1953,20,0.010240655401945725
real_gwtc3_null_catalog,all,catalog_tail_fraction_within_snr_group,0.005,7.031319618225098,1953,10,0.005120327700972862
real_gwtc3_null_catalog,all,catalog_tail_fraction_within_snr_group,0.001,9.939393043518066,1953,2,0.0010240655401945725
real_gwtc3_null_catalog,all,catalog_tail_fraction_within_snr_group,0.0005,10.267932891845703,1953,1,0.0005120327700972862
real_gwtc3_null_catalog,high_snr_ge8,catalog_tail_fraction_within_snr_group,0.1,3.2156198024749756,1953,196,0.1003584229390681
real_gwtc3_null_catalog,high_snr_ge8,catalog_tail_fraction_within_snr_group,0.05,3.8049938678741455,1953,98,0.05017921146953405
real_gwtc3_null_catalog,high_snr_ge8,catalog_tail_fraction_within_snr_group,0.01,6.176810264587402,1953,20,0.010240655401945725
real_gwtc3_null_catalog,high_snr_ge8,catalog_tail_fraction_within_snr_group,0.005,7.031319618225098,1953,10,0.005120327700972862
real_gwtc3_null_catalog,high_snr_ge8,catalog_tail_fraction_within_snr_group,0.001,9.939393043518066,1953,2,0.0010240655401945725
real_gwtc3_null_catalog,high_snr_ge8,catalog_tail_fraction_within_snr_group,0.0005,10.267932891845703,1953,1,0.0005120327700972862
real_gwtc4p1_null_catalog,all,catalog_tail_fraction_within_snr_group,0.1,3.6415271759033203,3486,349,0.10011474469305795
real_gwtc4p1_null_catalog,all,catalog_tail_fraction_within_snr_group,0.05,4.56038761138916,3486,175,0.050200803212851405
real_gwtc4p1_null_catalog,all,catalog_tail_fraction_within_snr_group,0.01,7.376184463500977,3486,35,0.010040160642570281
real_gwtc4p1_null_catalog,all,catalog_tail_fraction_within_snr_group,0.005,8.129905700683594,3486,18,0.0051635111876075735
real_gwtc4p1_null_catalog,all,catalog_tail_fraction_within_snr_group,0.001,11.717650413513184,3486,4,0.0011474469305794606
real_gwtc4p1_null_catalog,all,catalog_tail_fraction_within_snr_group,0.0005,13.027955055236816,3486,2,0.0005737234652897303
real_gwtc4p1_null_catalog,high_snr_ge8,catalog_tail_fraction_within_snr_group,0.1,3.6415271759033203,3486,349,0.10011474469305795
real_gwtc4p1_null_catalog,high_snr_ge8,catalog_tail_fraction_within_snr_group,0.05,4.56038761138916,3486,175,0.050200803212851405
real_gwtc4p1_null_catalog,high_snr_ge8,catalog_tail_fraction_within_snr_group,0.01,7.376184463500977,3486,35,0.010040160642570281
real_gwtc4p1_null_catalog,high_snr_ge8,catalog_tail_fraction_within_snr_group,0.005,8.129905700683594,3486,18,0.0051635111876075735
real_gwtc4p1_null_catalog,high_snr_ge8,catalog_tail_fraction_within_snr_group,0.001,11.717650413513184,3486,4,0.0011474469305794606
real_gwtc4p1_null_catalog,high_snr_ge8,catalog_tail_fraction_within_snr_group,0.0005,13.027955055236816,3486,2,0.0005737234652897303
