dataset,threshold_source,target_value,threshold,lens_type,n_true_pairs,true_pair_count_above_threshold,recall
constructed_et3_full_pair_catalog,target_false_pair_exceedance_rate,0.01,4.230512619018555,PM,1500,1500,1.0
constructed_et3_full_pair_catalog,target_false_pair_exceedance_rate,0.01,4.230512619018555,SIS,1500,1500,1.0
constructed_et3_full_pair_catalog,target_false_pair_exceedance_rate,0.001,6.481482028961182,PM,1500,1499,0.9993333333333333
constructed_et3_full_pair_catalog,target_false_pair_exceedance_rate,0.001,6.481482028961182,SIS,1500,1499,0.9993333333333333
constructed_et3_full_pair_catalog,target_false_pair_exceedance_rate,0.0001,9.602198600769043,PM,1500,1490,0.9933333333333333
constructed_et3_full_pair_catalog,target_false_pair_exceedance_rate,0.0001,9.602198600769043,SIS,1500,1473,0.982
constructed_et3_full_pair_catalog,target_false_pair_exceedance_rate,1e-05,13.162940979003906,PM,1500,1407,0.938
constructed_et3_full_pair_catalog,target_false_pair_exceedance_rate,1e-05,13.162940979003906,SIS,1500,1212,0.808
constructed_et3_full_pair_catalog,target_false_pair_exceedance_rate,1e-06,20.79305648803711,PM,1500,101,0.06733333333333333
constructed_et3_full_pair_catalog,target_false_pair_exceedance_rate,1e-06,20.79305648803711,SIS,1500,30,0.02
constructed_et3_full_pair_catalog,target_recall,0.1,19.626209259033203,PM,1500,231,0.154
constructed_et3_full_pair_catalog,target_recall,0.1,19.626209259033203,SIS,1500,70,0.04666666666666667
constructed_et3_full_pair_catalog,target_recall,0.5,16.295757293701172,PM,1500,948,0.632
constructed_et3_full_pair_catalog,target_recall,0.5,16.295757293701172,SIS,1500,553,0.36866666666666664
constructed_et3_full_pair_catalog,target_recall,0.9,12.73320198059082,PM,1500,1425,0.95
constructed_et3_full_pair_catalog,target_recall,0.9,12.73320198059082,SIS,1500,1276,0.8506666666666667
constructed_et3_full_pair_catalog,top_k_candidates,1.0,28.848487854003906,PM,1500,1,0.0006666666666666666
constructed_et3_full_pair_catalog,top_k_candidates,1.0,28.848487854003906,SIS,1500,0,0.0
constructed_et3_full_pair_catalog,top_k_candidates,5.0,24.933475494384766,PM,1500,3,0.002
constructed_et3_full_pair_catalog,top_k_candidates,5.0,24.933475494384766,SIS,1500,0,0.0
constructed_et3_full_pair_catalog,top_k_candidates,10.0,24.376968383789062,PM,1500,7,0.004666666666666667
constructed_et3_full_pair_catalog,top_k_candidates,10.0,24.376968383789062,SIS,1500,0,0.0
constructed_et3_full_pair_catalog,top_k_candidates,20.0,23.492084503173828,PM,1500,13,0.008666666666666666
constructed_et3_full_pair_catalog,top_k_candidates,20.0,23.492084503173828,SIS,1500,1,0.0006666666666666666
constructed_et3_full_pair_catalog,top_k_candidates,50.0,22.1580753326416,PM,1500,31,0.020666666666666667
constructed_et3_full_pair_catalog,top_k_candidates,50.0,22.1580753326416,SIS,1500,5,0.0033333333333333335
constructed_et3_full_pair_catalog,top_k_candidates,100.0,21.39862823486328,PM,1500,60,0.04
constructed_et3_full_pair_catalog,top_k_candidates,100.0,21.39862823486328,SIS,1500,15,0.01
constructed_et3_full_pair_catalog,top_k_candidates,200.0,20.60464096069336,PM,1500,115,0.07666666666666666
constructed_et3_full_pair_catalog,top_k_candidates,200.0,20.60464096069336,SIS,1500,37,0.024666666666666667
constructed_et3_full_pair_catalog,top_k_candidates,500.0,19.186683654785156,PM,1500,303,0.202
constructed_et3_full_pair_catalog,top_k_candidates,500.0,19.186683654785156,SIS,1500,100,0.06666666666666667
constructed_et3_full_pair_catalog,top_k_candidates,1000.0,17.80814552307129,PM,1500,581,0.3873333333333333
constructed_et3_full_pair_catalog,top_k_candidates,1000.0,17.80814552307129,SIS,1500,268,0.17866666666666667
constructed_et3_full_pair_catalog,top_k_candidates,5000.0,10.525014877319336,PM,1500,1479,0.986
constructed_et3_full_pair_catalog,top_k_candidates,5000.0,10.525014877319336,SIS,1500,1437,0.958
constructed_et3_full_pair_catalog,top_k_candidates,10000.0,8.839327812194824,PM,1500,1495,0.9966666666666667
constructed_et3_full_pair_catalog,top_k_candidates,10000.0,8.839327812194824,SIS,1500,1486,0.9906666666666667
