dataset,score_name,threshold_source,target_value,threshold,n_true_pairs,n_false_pairs,true_pair_count_above_threshold,false_pair_count_above_threshold,candidate_count_above_threshold,recall,precision,false_pair_exceedance_rate,false_per_true_recovered
constructed_et3_full_pair_catalog,final_score,target_false_pair_exceedance_rate,0.01,4.230512619018555,3000,40492500,3000,404925,407925,1.0,0.007354293068578783,0.01,134.975
constructed_et3_full_pair_catalog,final_score,target_false_pair_exceedance_rate,0.001,6.481482028961182,3000,40492500,2998,40493,43491,0.9993333333333333,0.068933802395898,0.0010000123479656728,13.50667111407605
constructed_et3_full_pair_catalog,final_score,target_false_pair_exceedance_rate,0.0001,9.602198600769043,3000,40492500,2963,4050,7013,0.9876666666666667,0.422501069442464,0.00010001852194850898,1.3668579142760715
constructed_et3_full_pair_catalog,final_score,target_false_pair_exceedance_rate,1e-05,13.162940979003906,3000,40492500,2619,405,3024,0.873,0.8660714285714286,1.0001852194850899e-05,0.15463917525773196
constructed_et3_full_pair_catalog,final_score,target_false_pair_exceedance_rate,1e-06,20.79305648803711,3000,40492500,131,41,172,0.043666666666666666,0.7616279069767442,1.0125331851577453e-06,0.31297709923664124
constructed_et3_full_pair_catalog,final_score,target_recall,0.1,19.626209259033203,3000,40492500,301,85,386,0.10033333333333333,0.7797927461139896,2.0991541643514233e-06,0.2823920265780731
constructed_et3_full_pair_catalog,final_score,target_recall,0.5,16.295757293701172,3000,40492500,1501,201,1702,0.5003333333333333,0.881903642773208,4.963882200407483e-06,0.13391072618254496
constructed_et3_full_pair_catalog,final_score,target_recall,0.9,12.73320198059082,3000,40492500,2701,505,3206,0.9003333333333333,0.8424828446662508,1.2471445329381984e-05,0.18696778970751574
constructed_et3_full_pair_catalog,final_score,top_k_candidates,1.0,28.848487854003906,3000,40492500,1,0,1,0.0003333333333333333,1.0,0.0,0.0
constructed_et3_full_pair_catalog,final_score,top_k_candidates,5.0,24.933475494384766,3000,40492500,3,2,5,0.001,0.6,4.939186269062172e-08,0.6666666666666666
constructed_et3_full_pair_catalog,final_score,top_k_candidates,10.0,24.376968383789062,3000,40492500,7,3,10,0.0023333333333333335,0.7,7.408779403593258e-08,0.42857142857142855
constructed_et3_full_pair_catalog,final_score,top_k_candidates,20.0,23.492084503173828,3000,40492500,14,6,20,0.004666666666666667,0.7,1.4817558807186516e-07,0.42857142857142855
constructed_et3_full_pair_catalog,final_score,top_k_candidates,50.0,22.1580753326416,3000,40492500,36,14,50,0.012,0.72,3.4574303883435205e-07,0.3888888888888889
constructed_et3_full_pair_catalog,final_score,top_k_candidates,100.0,21.39862823486328,3000,40492500,75,25,100,0.025,0.75,6.173982836327715e-07,0.3333333333333333
constructed_et3_full_pair_catalog,final_score,top_k_candidates,200.0,20.60464096069336,3000,40492500,152,48,200,0.050666666666666665,0.76,1.1854047045749213e-06,0.3157894736842105
constructed_et3_full_pair_catalog,final_score,top_k_candidates,500.0,19.186683654785156,3000,40492500,403,97,500,0.13433333333333333,0.806,2.3955053404951535e-06,0.24069478908188585
constructed_et3_full_pair_catalog,final_score,top_k_candidates,1000.0,17.80814552307129,3000,40492500,849,151,1000,0.283,0.849,3.7290856331419397e-06,0.17785630153121318
constructed_et3_full_pair_catalog,final_score,top_k_candidates,5000.0,10.525014877319336,3000,40492500,2916,2084,5000,0.972,0.5832,5.146632092362783e-05,0.7146776406035665
constructed_et3_full_pair_catalog,final_score,top_k_candidates,10000.0,8.839327812194824,3000,40492500,2981,7019,10000,0.9936666666666667,0.2981,0.00017334074211273692,2.354579000335458
