dataset,score_name,threshold_source,target_value,threshold,pair_class,n_false_pairs,false_pair_count_above_threshold,false_pair_exceedance_rate
gwtc3_real_background_plus_synthetic_injections,combined_time_sky,target_false_pair_exceedance_rate,0.01,2.987887,background_pair,19530,120,0.006144393241167435
gwtc3_real_background_plus_synthetic_injections,combined_time_sky,target_false_pair_exceedance_rate,0.01,2.987887,injection_background_false,25200,193,0.007658730158730159
gwtc3_real_background_plus_synthetic_injections,combined_time_sky,target_false_pair_exceedance_rate,0.01,2.987887,injection_injection_false,7600,211,0.027763157894736844
gwtc3_real_background_plus_synthetic_injections,combined_time_sky,target_false_pair_exceedance_rate,0.001,4.126794,background_pair,19530,3,0.00015360983102918587
gwtc3_real_background_plus_synthetic_injections,combined_time_sky,target_false_pair_exceedance_rate,0.001,4.126794,injection_background_false,25200,22,0.000873015873015873
gwtc3_real_background_plus_synthetic_injections,combined_time_sky,target_false_pair_exceedance_rate,0.001,4.126794,injection_injection_false,7600,28,0.0036842105263157894
gwtc3_real_background_plus_synthetic_injections,combined_time_sky,target_false_pair_exceedance_rate,0.0001,4.9046617,background_pair,19530,0,0.0
gwtc3_real_background_plus_synthetic_injections,combined_time_sky,target_false_pair_exceedance_rate,0.0001,4.9046617,injection_background_false,25200,2,7.936507936507937e-05
gwtc3_real_background_plus_synthetic_injections,combined_time_sky,target_false_pair_exceedance_rate,0.0001,4.9046617,injection_injection_false,7600,4,0.0005263157894736842
gwtc3_real_background_plus_synthetic_injections,combined_time_sky,target_false_pair_exceedance_rate,1e-05,5.4127965,background_pair,19530,0,0.0
gwtc3_real_background_plus_synthetic_injections,combined_time_sky,target_false_pair_exceedance_rate,1e-05,5.4127965,injection_background_false,25200,0,0.0
gwtc3_real_background_plus_synthetic_injections,combined_time_sky,target_false_pair_exceedance_rate,1e-05,5.4127965,injection_injection_false,7600,1,0.00013157894736842105
gwtc3_real_background_plus_synthetic_injections,combined_time_sky,target_false_pair_exceedance_rate,1e-06,5.4127965,background_pair,19530,0,0.0
gwtc3_real_background_plus_synthetic_injections,combined_time_sky,target_false_pair_exceedance_rate,1e-06,5.4127965,injection_background_false,25200,0,0.0
gwtc3_real_background_plus_synthetic_injections,combined_time_sky,target_false_pair_exceedance_rate,1e-06,5.4127965,injection_injection_false,7600,1,0.00013157894736842105
gwtc3_real_background_plus_synthetic_injections,combined_time_sky,target_recall,0.1,4.613596,background_pair,19530,0,0.0
gwtc3_real_background_plus_synthetic_injections,combined_time_sky,target_recall,0.1,4.613596,injection_background_false,25200,7,0.0002777777777777778
gwtc3_real_background_plus_synthetic_injections,combined_time_sky,target_recall,0.1,4.613596,injection_injection_false,7600,7,0.0009210526315789473
gwtc3_real_background_plus_synthetic_injections,combined_time_sky,target_recall,0.5,3.248052,background_pair,19530,64,0.003277009728622632
gwtc3_real_background_plus_synthetic_injections,combined_time_sky,target_recall,0.5,3.248052,injection_background_false,25200,116,0.004603174603174603
gwtc3_real_background_plus_synthetic_injections,combined_time_sky,target_recall,0.5,3.248052,injection_injection_false,7600,148,0.019473684210526317
gwtc3_real_background_plus_synthetic_injections,combined_time_sky,target_recall,0.9,1.586834,background_pair,19530,2903,0.1486431131592422
gwtc3_real_background_plus_synthetic_injections,combined_time_sky,target_recall,0.9,1.586834,injection_background_false,25200,1612,0.06396825396825397
gwtc3_real_background_plus_synthetic_injections,combined_time_sky,target_recall,0.9,1.586834,injection_injection_false,7600,1230,0.1618421052631579
