dataset,score_name,threshold_source,target_value,threshold,n_true_pairs,n_false_pairs,true_pair_count_above_threshold,false_pair_count_above_threshold,candidate_count_above_threshold,recall,precision,false_pair_exceedance_rate,false_per_true_recovered
gwtc3_real_background_plus_synthetic_injections,combined_time_sky,target_false_pair_exceedance_rate,0.01,2.987887,200,52330,121,524,645,0.605,0.1875968992248062,0.010013376648194152,4.330578512396694
gwtc3_real_background_plus_synthetic_injections,combined_time_sky,target_false_pair_exceedance_rate,0.001,4.126794,200,52330,47,53,100,0.235,0.47,0.001012803363271546,1.127659574468085
gwtc3_real_background_plus_synthetic_injections,combined_time_sky,target_false_pair_exceedance_rate,0.0001,4.9046617,200,52330,7,6,13,0.035,0.5384615384615384,0.00011465698452130708,0.8571428571428571
gwtc3_real_background_plus_synthetic_injections,combined_time_sky,target_false_pair_exceedance_rate,1e-05,5.4127965,200,52330,4,1,5,0.02,0.8,1.910949742021785e-05,0.25
gwtc3_real_background_plus_synthetic_injections,combined_time_sky,target_false_pair_exceedance_rate,1e-06,5.4127965,200,52330,4,1,5,0.02,0.8,1.910949742021785e-05,0.25
gwtc3_real_background_plus_synthetic_injections,combined_time_sky,target_recall,0.1,4.613596,200,52330,21,14,35,0.105,0.6,0.0002675329638830499,0.6666666666666666
gwtc3_real_background_plus_synthetic_injections,combined_time_sky,target_recall,0.5,3.248052,200,52330,101,328,429,0.505,0.23543123543123542,0.006267915153831454,3.2475247524752477
gwtc3_real_background_plus_synthetic_injections,combined_time_sky,target_recall,0.9,1.586834,200,52330,181,5745,5926,0.905,0.030543368207897402,0.10978406267915154,31.740331491712706
gwtc3_real_background_plus_synthetic_injections,combined_time_sky,top_k_candidates,1.0,5.9504175,200,52330,1,0,1,0.005,1.0,0.0,0.0
gwtc3_real_background_plus_synthetic_injections,combined_time_sky,top_k_candidates,5.0,5.4127965,200,52330,4,1,5,0.02,0.8,1.910949742021785e-05,0.25
gwtc3_real_background_plus_synthetic_injections,combined_time_sky,top_k_candidates,10.0,5.0990405,200,52330,7,3,10,0.035,0.7,5.732849226065354e-05,0.42857142857142855
gwtc3_real_background_plus_synthetic_injections,combined_time_sky,top_k_candidates,20.0,4.756427,200,52330,12,8,20,0.06,0.6,0.0001528759793617428,0.6666666666666666
gwtc3_real_background_plus_synthetic_injections,combined_time_sky,top_k_candidates,50.0,4.4873576,200,52330,27,23,50,0.135,0.54,0.0004395184406650105,0.8518518518518519
gwtc3_real_background_plus_synthetic_injections,combined_time_sky,top_k_candidates,100.0,4.126794,200,52330,47,53,100,0.235,0.47,0.001012803363271546,1.127659574468085
gwtc3_real_background_plus_synthetic_injections,combined_time_sky,top_k_candidates,200.0,3.7076304,200,52330,72,128,200,0.36,0.36,0.0024460156697878846,1.7777777777777777
gwtc3_real_background_plus_synthetic_injections,combined_time_sky,top_k_candidates,500.0,3.132879,200,52330,112,388,500,0.56,0.224,0.007414484999044525,3.4642857142857144
