dataset,seed,score_name,threshold_source,target_value,threshold,n_true_pairs,n_false_pairs,true_pair_count_above_threshold,false_pair_count_above_threshold,candidate_count_above_threshold,recall,precision,false_pair_exceedance_rate,false_per_true_recovered
gwtc3_real_background_plus_synthetic_injections,20260617,combined_time_sky,target_false_pair_exceedance_rate,0.01,2.987887,20,5233,14,58,72,0.7,0.19444444444444445,0.011083508503726351,4.142857142857143
gwtc3_real_background_plus_synthetic_injections,20260617,combined_time_sky,target_false_pair_exceedance_rate,0.001,4.126794,20,5233,7,9,16,0.35,0.4375,0.0017198547678196063,1.2857142857142858
gwtc3_real_background_plus_synthetic_injections,20260617,combined_time_sky,target_false_pair_exceedance_rate,0.0001,4.9046617,20,5233,0,0,0,0.0,0.0,0.0,inf
gwtc3_real_background_plus_synthetic_injections,20260617,combined_time_sky,target_false_pair_exceedance_rate,1e-05,5.4127965,20,5233,0,0,0,0.0,0.0,0.0,inf
gwtc3_real_background_plus_synthetic_injections,20260617,combined_time_sky,target_false_pair_exceedance_rate,1e-06,5.4127965,20,5233,0,0,0,0.0,0.0,0.0,inf
gwtc3_real_background_plus_synthetic_injections,20260617,combined_time_sky,target_recall,0.1,4.613596,20,5233,1,2,3,0.05,0.3333333333333333,0.00038218994840435696,2.0
gwtc3_real_background_plus_synthetic_injections,20260617,combined_time_sky,target_recall,0.5,3.248052,20,5233,11,33,44,0.55,0.25,0.00630613414867189,3.0
gwtc3_real_background_plus_synthetic_injections,20260617,combined_time_sky,target_recall,0.9,1.586834,20,5233,17,584,601,0.85,0.028286189683860232,0.11159946493407223,34.35294117647059
gwtc3_real_background_plus_synthetic_injections,20260618,combined_time_sky,target_false_pair_exceedance_rate,0.01,2.987887,20,5233,4,43,47,0.2,0.0851063829787234,0.008217083890693675,10.75
gwtc3_real_background_plus_synthetic_injections,20260618,combined_time_sky,target_false_pair_exceedance_rate,0.001,4.126794,20,5233,3,2,5,0.15,0.6,0.00038218994840435696,0.6666666666666666
gwtc3_real_background_plus_synthetic_injections,20260618,combined_time_sky,target_false_pair_exceedance_rate,0.0001,4.9046617,20,5233,0,0,0,0.0,0.0,0.0,inf
gwtc3_real_background_plus_synthetic_injections,20260618,combined_time_sky,target_false_pair_exceedance_rate,1e-05,5.4127965,20,5233,0,0,0,0.0,0.0,0.0,inf
gwtc3_real_background_plus_synthetic_injections,20260618,combined_time_sky,target_false_pair_exceedance_rate,1e-06,5.4127965,20,5233,0,0,0,0.0,0.0,0.0,inf
gwtc3_real_background_plus_synthetic_injections,20260618,combined_time_sky,target_recall,0.1,4.613596,20,5233,2,1,3,0.1,0.6666666666666666,0.00019109497420217848,0.5
gwtc3_real_background_plus_synthetic_injections,20260618,combined_time_sky,target_recall,0.5,3.248052,20,5233,4,23,27,0.2,0.14814814814814814,0.004395184406650105,5.75
gwtc3_real_background_plus_synthetic_injections,20260618,combined_time_sky,target_recall,0.9,1.586834,20,5233,19,609,628,0.95,0.030254777070063694,0.11637683928912669,32.05263157894737
gwtc3_real_background_plus_synthetic_injections,20260619,combined_time_sky,target_false_pair_exceedance_rate,0.01,2.987887,20,5233,13,61,74,0.65,0.17567567567567569,0.011656793426332888,4.6923076923076925
gwtc3_real_background_plus_synthetic_injections,20260619,combined_time_sky,target_false_pair_exceedance_rate,0.001,4.126794,20,5233,5,3,8,0.25,0.625,0.0005732849226065354,0.6
gwtc3_real_background_plus_synthetic_injections,20260619,combined_time_sky,target_false_pair_exceedance_rate,0.0001,4.9046617,20,5233,1,1,2,0.05,0.5,0.00019109497420217848,1.0
gwtc3_real_background_plus_synthetic_injections,20260619,combined_time_sky,target_false_pair_exceedance_rate,1e-05,5.4127965,20,5233,0,0,0,0.0,0.0,0.0,inf
gwtc3_real_background_plus_synthetic_injections,20260619,combined_time_sky,target_false_pair_exceedance_rate,1e-06,5.4127965,20,5233,0,0,0,0.0,0.0,0.0,inf
gwtc3_real_background_plus_synthetic_injections,20260619,combined_time_sky,target_recall,0.1,4.613596,20,5233,1,1,2,0.05,0.5,0.00019109497420217848,1.0
gwtc3_real_background_plus_synthetic_injections,20260619,combined_time_sky,target_recall,0.5,3.248052,20,5233,12,48,60,0.6,0.2,0.009172558761704567,4.0
gwtc3_real_background_plus_synthetic_injections,20260619,combined_time_sky,target_recall,0.9,1.586834,20,5233,17,557,574,0.85,0.029616724738675958,0.10643990063061341,32.76470588235294
gwtc3_real_background_plus_synthetic_injections,20260620,combined_time_sky,target_false_pair_exceedance_rate,0.01,2.987887,20,5233,11,55,66,0.55,0.16666666666666666,0.010510223581119816,5.0
gwtc3_real_background_plus_synthetic_injections,20260620,combined_time_sky,target_false_pair_exceedance_rate,0.001,4.126794,20,5233,6,4,10,0.3,0.6,0.0007643798968087139,0.6666666666666666
gwtc3_real_background_plus_synthetic_injections,20260620,combined_time_sky,target_false_pair_exceedance_rate,0.0001,4.9046617,20,5233,2,0,2,0.1,1.0,0.0,0.0
gwtc3_real_background_plus_synthetic_injections,20260620,combined_time_sky,target_false_pair_exceedance_rate,1e-05,5.4127965,20,5233,2,0,2,0.1,1.0,0.0,0.0
gwtc3_real_background_plus_synthetic_injections,20260620,combined_time_sky,target_false_pair_exceedance_rate,1e-06,5.4127965,20,5233,2,0,2,0.1,1.0,0.0,0.0
gwtc3_real_background_plus_synthetic_injections,20260620,combined_time_sky,target_recall,0.1,4.613596,20,5233,3,0,3,0.15,1.0,0.0,0.0
gwtc3_real_background_plus_synthetic_injections,20260620,combined_time_sky,target_recall,0.5,3.248052,20,5233,9,34,43,0.45,0.20930232558139536,0.006497229122874069,3.7777777777777777
gwtc3_real_background_plus_synthetic_injections,20260620,combined_time_sky,target_recall,0.9,1.586834,20,5233,16,564,580,0.8,0.027586206896551724,0.10777756545002866,35.25
gwtc3_real_background_plus_synthetic_injections,20260621,combined_time_sky,target_false_pair_exceedance_rate,0.01,2.987887,20,5233,12,59,71,0.6,0.16901408450704225,0.011274603477928531,4.916666666666667
gwtc3_real_background_plus_synthetic_injections,20260621,combined_time_sky,target_false_pair_exceedance_rate,0.001,4.126794,20,5233,3,6,9,0.15,0.3333333333333333,0.0011465698452130708,2.0
gwtc3_real_background_plus_synthetic_injections,20260621,combined_time_sky,target_false_pair_exceedance_rate,0.0001,4.9046617,20,5233,1,1,2,0.05,0.5,0.00019109497420217848,1.0
gwtc3_real_background_plus_synthetic_injections,20260621,combined_time_sky,target_false_pair_exceedance_rate,1e-05,5.4127965,20,5233,1,0,1,0.05,1.0,0.0,0.0
gwtc3_real_background_plus_synthetic_injections,20260621,combined_time_sky,target_false_pair_exceedance_rate,1e-06,5.4127965,20,5233,1,0,1,0.05,1.0,0.0,0.0
gwtc3_real_background_plus_synthetic_injections,20260621,combined_time_sky,target_recall,0.1,4.613596,20,5233,2,2,4,0.1,0.5,0.00038218994840435696,1.0
gwtc3_real_background_plus_synthetic_injections,20260621,combined_time_sky,target_recall,0.5,3.248052,20,5233,9,41,50,0.45,0.18,0.007834893942289319,4.555555555555555
gwtc3_real_background_plus_synthetic_injections,20260621,combined_time_sky,target_recall,0.9,1.586834,20,5233,20,554,574,1.0,0.03484320557491289,0.10586661570800687,27.7
gwtc3_real_background_plus_synthetic_injections,20260622,combined_time_sky,target_false_pair_exceedance_rate,0.01,2.987887,20,5233,11,41,52,0.55,0.21153846153846154,0.007834893942289319,3.727272727272727
gwtc3_real_background_plus_synthetic_injections,20260622,combined_time_sky,target_false_pair_exceedance_rate,0.001,4.126794,20,5233,5,8,13,0.25,0.38461538461538464,0.0015287597936174278,1.6
gwtc3_real_background_plus_synthetic_injections,20260622,combined_time_sky,target_false_pair_exceedance_rate,0.0001,4.9046617,20,5233,0,3,3,0.0,0.0,0.0005732849226065354,inf
gwtc3_real_background_plus_synthetic_injections,20260622,combined_time_sky,target_false_pair_exceedance_rate,1e-05,5.4127965,20,5233,0,0,0,0.0,0.0,0.0,inf
gwtc3_real_background_plus_synthetic_injections,20260622,combined_time_sky,target_false_pair_exceedance_rate,1e-06,5.4127965,20,5233,0,0,0,0.0,0.0,0.0,inf
gwtc3_real_background_plus_synthetic_injections,20260622,combined_time_sky,target_recall,0.1,4.613596,20,5233,2,3,5,0.1,0.4,0.0005732849226065354,1.5
gwtc3_real_background_plus_synthetic_injections,20260622,combined_time_sky,target_recall,0.5,3.248052,20,5233,10,29,39,0.5,0.2564102564102564,0.005541754251863176,2.9
gwtc3_real_background_plus_synthetic_injections,20260622,combined_time_sky,target_recall,0.9,1.586834,20,5233,17,579,596,0.85,0.028523489932885907,0.11064399006306135,34.05882352941177
gwtc3_real_background_plus_synthetic_injections,20260623,combined_time_sky,target_false_pair_exceedance_rate,0.01,2.987887,20,5233,16,54,70,0.8,0.22857142857142856,0.010319128606917638,3.375
gwtc3_real_background_plus_synthetic_injections,20260623,combined_time_sky,target_false_pair_exceedance_rate,0.001,4.126794,20,5233,4,8,12,0.2,0.3333333333333333,0.0015287597936174278,2.0
gwtc3_real_background_plus_synthetic_injections,20260623,combined_time_sky,target_false_pair_exceedance_rate,0.0001,4.9046617,20,5233,1,0,1,0.05,1.0,0.0,0.0
gwtc3_real_background_plus_synthetic_injections,20260623,combined_time_sky,target_false_pair_exceedance_rate,1e-05,5.4127965,20,5233,0,0,0,0.0,0.0,0.0,inf
gwtc3_real_background_plus_synthetic_injections,20260623,combined_time_sky,target_false_pair_exceedance_rate,1e-06,5.4127965,20,5233,0,0,0,0.0,0.0,0.0,inf
gwtc3_real_background_plus_synthetic_injections,20260623,combined_time_sky,target_recall,0.1,4.613596,20,5233,3,2,5,0.15,0.6,0.00038218994840435696,0.6666666666666666
gwtc3_real_background_plus_synthetic_injections,20260623,combined_time_sky,target_recall,0.5,3.248052,20,5233,13,36,49,0.65,0.2653061224489796,0.006879419071278425,2.769230769230769
