dataset,score_name,threshold_source,target_value,threshold,n_null_pairs,candidate_count_above_threshold,null_pair_exceedance_rate
real_gwtc3_null_catalog,final_score,et3_synthetic_score_threshold_applied_without_recalibration,4.230512619018555,4.230512619018555,1953,69,0.03533026113671275
real_gwtc3_null_catalog,final_score,et3_synthetic_score_threshold_applied_without_recalibration,6.481482028961182,6.481482028961182,1953,16,0.00819252432155658
real_gwtc3_null_catalog,final_score,et3_synthetic_score_threshold_applied_without_recalibration,9.602198600769043,9.602198600769043,1953,2,0.0010240655401945725
real_gwtc3_null_catalog,final_score,et3_synthetic_score_threshold_applied_without_recalibration,13.162940979003906,13.162940979003906,1953,0,0.0
real_gwtc3_null_catalog,final_score,et3_synthetic_score_threshold_applied_without_recalibration,20.79305648803711,20.79305648803711,1953,0,0.0
real_gwtc4p1_null_catalog,final_score,et3_synthetic_score_threshold_applied_without_recalibration,4.230512619018555,4.230512619018555,3486,221,0.0633964429145152
real_gwtc4p1_null_catalog,final_score,et3_synthetic_score_threshold_applied_without_recalibration,6.481482028961182,6.481482028961182,3486,53,0.015203671830177854
real_gwtc4p1_null_catalog,final_score,et3_synthetic_score_threshold_applied_without_recalibration,9.602198600769043,9.602198600769043,3486,9,0.0025817555938037868
real_gwtc4p1_null_catalog,final_score,et3_synthetic_score_threshold_applied_without_recalibration,13.162940979003906,13.162940979003906,3486,1,0.00028686173264486515
real_gwtc4p1_null_catalog,final_score,et3_synthetic_score_threshold_applied_without_recalibration,20.79305648803711,20.79305648803711,3486,0,0.0
