dataset,score_name,threshold_source,target_value,threshold,n_null_pairs,candidate_count_above_threshold,null_pair_exceedance_rate
real_gwtc3_null_catalog,final_score,top_k_candidates_within_real_catalog,1.0,10.267932891845703,1953,1,0.0005120327700972862
real_gwtc3_null_catalog,final_score,top_k_candidates_within_real_catalog,5.0,7.876396179199219,1953,5,0.002560163850486431
real_gwtc3_null_catalog,final_score,top_k_candidates_within_real_catalog,10.0,7.031319618225098,1953,10,0.005120327700972862
real_gwtc3_null_catalog,final_score,top_k_candidates_within_real_catalog,20.0,6.176810264587402,1953,20,0.010240655401945725
real_gwtc3_null_catalog,final_score,top_k_candidates_within_real_catalog,50.0,4.7291765213012695,1953,50,0.025601638504864313
real_gwtc3_null_catalog,final_score,top_k_candidates_within_real_catalog,100.0,3.792510747909546,1953,100,0.051203277009728626
real_gwtc3_null_catalog,final_score,top_k_candidates_within_real_catalog,200.0,3.1927826404571533,1953,200,0.10240655401945725
real_gwtc3_null_catalog,final_score,top_k_candidates_within_real_catalog,500.0,2.0652852058410645,1953,500,0.2560163850486431
real_gwtc3_null_catalog,final_score,catalog_tail_fraction_within_real_catalog,0.1,3.2156198024749756,1953,196,0.1003584229390681
real_gwtc3_null_catalog,final_score,catalog_tail_fraction_within_real_catalog,0.05,3.8049938678741455,1953,98,0.05017921146953405
real_gwtc3_null_catalog,final_score,catalog_tail_fraction_within_real_catalog,0.01,6.176810264587402,1953,20,0.010240655401945725
real_gwtc3_null_catalog,final_score,catalog_tail_fraction_within_real_catalog,0.005,7.031319618225098,1953,10,0.005120327700972862
real_gwtc3_null_catalog,final_score,catalog_tail_fraction_within_real_catalog,0.001,9.939393043518066,1953,2,0.0010240655401945725
real_gwtc3_null_catalog,final_score,catalog_tail_fraction_within_real_catalog,0.0005,10.267932891845703,1953,1,0.0005120327700972862
real_gwtc3_null_catalog,final_score,catalog_tail_fraction_within_real_catalog,0.0001,10.267932891845703,1953,1,0.0005120327700972862
real_gwtc4p1_null_catalog,final_score,top_k_candidates_within_real_catalog,1.0,16.652652740478516,3486,1,0.00028686173264486515
real_gwtc4p1_null_catalog,final_score,top_k_candidates_within_real_catalog,5.0,11.442522048950195,3486,5,0.001434308663224326
real_gwtc4p1_null_catalog,final_score,top_k_candidates_within_real_catalog,10.0,9.25449275970459,3486,10,0.002868617326448652
real_gwtc4p1_null_catalog,final_score,top_k_candidates_within_real_catalog,20.0,8.039844512939453,3486,20,0.005737234652897304
real_gwtc4p1_null_catalog,final_score,top_k_candidates_within_real_catalog,50.0,6.584758281707764,3486,50,0.01434308663224326
real_gwtc4p1_null_catalog,final_score,top_k_candidates_within_real_catalog,100.0,5.47359561920166,3486,100,0.02868617326448652
real_gwtc4p1_null_catalog,final_score,top_k_candidates_within_real_catalog,200.0,4.420675277709961,3486,200,0.05737234652897304
real_gwtc4p1_null_catalog,final_score,top_k_candidates_within_real_catalog,500.0,3.0942740440368652,3486,500,0.1434308663224326
real_gwtc4p1_null_catalog,final_score,catalog_tail_fraction_within_real_catalog,0.1,3.6415271759033203,3486,349,0.10011474469305795
real_gwtc4p1_null_catalog,final_score,catalog_tail_fraction_within_real_catalog,0.05,4.56038761138916,3486,175,0.050200803212851405
real_gwtc4p1_null_catalog,final_score,catalog_tail_fraction_within_real_catalog,0.01,7.376184463500977,3486,35,0.010040160642570281
real_gwtc4p1_null_catalog,final_score,catalog_tail_fraction_within_real_catalog,0.005,8.129905700683594,3486,18,0.0051635111876075735
real_gwtc4p1_null_catalog,final_score,catalog_tail_fraction_within_real_catalog,0.001,11.717650413513184,3486,4,0.0011474469305794606
real_gwtc4p1_null_catalog,final_score,catalog_tail_fraction_within_real_catalog,0.0005,13.027955055236816,3486,2,0.0005737234652897303
real_gwtc4p1_null_catalog,final_score,catalog_tail_fraction_within_real_catalog,0.0001,16.652652740478516,3486,1,0.00028686173264486515
