detector,data_mode,catalog,candidate_kind,subset,variant,stage,query_total,catalog_total,sis_lensed_images,sis_unlensed,pm_lensed_images,pm_unlensed,total_lensed_images,total_unlensed,epochs,backbone,preprocess,train_s,mean_epoch_s,sky_sigma_rad,sky_val_mean_angular_error_rad,sky_val_median_angular_error_rad,val_hard_candidate_kind,val_hard_n_queries,val_hard_target_negatives_per_query,val_hard_shortage_queries,val_hard_mean_used_eps,val_hard_p_dt_pos_lt_dt_neg,valid,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,top_1pct_k,top_1pct,top_5pct_k,top_5pct,top_10pct_k,top_10pct,val_auc_hard_sampled,train_examples,train_positive
ET3,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,overall,waveform_only,direct_full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1312.4808147922158,26.249415654316543,1.5665719509124756,1.578660488128662,1.5665719509124756,hard,6000,200,3535,0.7714583333333334,0.829945,6000,0.9843333333333333,0.9953333333333333,0.9973333333333333,0.9988333333333334,0.9995,1.0,1.0,90,0.9995,450,1.0,900,1.0,,,
ET3,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,SIS,waveform_only,direct_full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1312.4808147922158,26.249415654316543,1.5665719509124756,1.578660488128662,1.5665719509124756,hard,6000,200,3535,0.7714583333333334,0.829945,3000,0.9826666666666667,0.9933333333333333,0.995,0.9976666666666667,0.999,1.0,1.0,90,0.999,450,1.0,900,1.0,,,
ET3,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,PM,waveform_only,direct_full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1312.4808147922158,26.249415654316543,1.5665719509124756,1.578660488128662,1.5665719509124756,hard,6000,200,3535,0.7714583333333334,0.829945,3000,0.986,0.9973333333333333,0.9996666666666667,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,,,
ET3,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,macro,waveform_only,direct_full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1312.4808147922158,26.249415654316543,1.5665719509124756,1.578660488128662,1.5665719509124756,hard,6000,200,3535,0.7714583333333334,0.829945,6000,0.9843333333333333,0.9953333333333333,0.9973333333333334,0.9988333333333334,0.9995,1.0,1.0,90,0.9995,450,1.0,900,1.0,,,
ET3,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,overall,time_only,direct_full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1312.4808147922158,26.249415654316543,1.5665719509124756,1.578660488128662,1.5665719509124756,hard,6000,200,3535,0.7714583333333334,0.829945,6000,0.13516666666666666,0.405,0.5298333333333334,0.6326666666666667,0.6893333333333334,0.8475,9.0,90,0.6778333333333333,450,0.8386666666666667,900,0.9093333333333333,,,
ET3,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,SIS,time_only,direct_full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1312.4808147922158,26.249415654316543,1.5665719509124756,1.578660488128662,1.5665719509124756,hard,6000,200,3535,0.7714583333333334,0.829945,3000,0.009666666666666667,0.052333333333333336,0.102,0.2653333333333333,0.37866666666666665,0.695,188.0,90,0.3556666666666667,450,0.6773333333333333,900,0.8186666666666667,,,
ET3,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,PM,time_only,direct_full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1312.4808147922158,26.249415654316543,1.5665719509124756,1.578660488128662,1.5665719509124756,hard,6000,200,3535,0.7714583333333334,0.829945,3000,0.26066666666666666,0.7576666666666667,0.9576666666666667,1.0,1.0,1.0,3.0,90,1.0,450,1.0,900,1.0,,,
ET3,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,macro,time_only,direct_full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1312.4808147922158,26.249415654316543,1.5665719509124756,1.578660488128662,1.5665719509124756,hard,6000,200,3535,0.7714583333333334,0.829945,6000,0.13516666666666666,0.405,0.5298333333333334,0.6326666666666667,0.6893333333333334,0.8474999999999999,95.5,90,0.6778333333333333,450,0.8386666666666667,900,0.9093333333333333,,,
ET3,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,overall,true_sky_overlap_only,direct_full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1312.4808147922158,26.249415654316543,1.5665719509124756,1.578660488128662,1.5665719509124756,hard,6000,200,3535,0.7714583333333334,0.829945,6000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,,,
ET3,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,SIS,true_sky_overlap_only,direct_full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1312.4808147922158,26.249415654316543,1.5665719509124756,1.578660488128662,1.5665719509124756,hard,6000,200,3535,0.7714583333333334,0.829945,3000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,,,
