detector,data_mode,stage,variant,subset,catalog,candidate_kind,query_total,catalog_total,sis_lensed_images,sis_unlensed,pm_lensed_images,pm_unlensed,total_lensed_images,total_unlensed,epochs,backbone,preprocess,liao_label,liao_delay_count,observed_sky_label,a90_ref_deg2,test_a90_median_deg2,test_a90_p90_deg2,weight_grid,component_keys,val_selected_r@1,val_selected_r@5,val_selected_r@10,lambda_waveform,valid,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,top_1pct_k,top_1pct,top_5pct_k,top_5pct,top_10pct_k,top_10pct,lambda_raw_time,lambda_liao_time_lr,lambda_observed_sky_step,lambda_observed_sky_log_overlap
ET3,noisy,stage7_modality_combinations,waveform_only,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,ET three-arm network-SNR A90 approximation,100.0,20.0,27.413530636754054,"[0.25, 0.5, 1.0, 2.0, 4.0]",waveform,0.6476666666666666,0.8116666666666666,0.8641666666666666,1.0,6000,0.6245,0.7978333333333333,0.8541666666666666,0.936,0.9613333333333334,0.987,1.0,90,0.9585,450,0.9863333333333333,900,0.9903333333333333,,,,
ET3,noisy,stage7_modality_combinations,waveform_only,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,ET three-arm network-SNR A90 approximation,100.0,20.0,27.413530636754054,"[0.25, 0.5, 1.0, 2.0, 4.0]",waveform,0.6476666666666666,0.8116666666666666,0.8641666666666666,1.0,3000,0.674,0.8446666666666667,0.8906666666666667,0.9586666666666667,0.977,0.9936666666666667,1.0,90,0.975,450,0.9933333333333333,900,0.9946666666666667,,,,
ET3,noisy,stage7_modality_combinations,waveform_only,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,ET three-arm network-SNR A90 approximation,100.0,20.0,27.413530636754054,"[0.25, 0.5, 1.0, 2.0, 4.0]",waveform,0.6476666666666666,0.8116666666666666,0.8641666666666666,1.0,3000,0.575,0.751,0.8176666666666667,0.9133333333333333,0.9456666666666667,0.9803333333333333,1.0,90,0.942,450,0.9793333333333333,900,0.986,,,,
ET3,noisy,stage7_modality_combinations,waveform_only,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,ET three-arm network-SNR A90 approximation,100.0,20.0,27.413530636754054,"[0.25, 0.5, 1.0, 2.0, 4.0]",waveform,0.6476666666666666,0.8116666666666666,0.8641666666666666,1.0,6000,0.6245,0.7978333333333334,0.8541666666666667,0.9359999999999999,0.9613333333333334,0.987,1.0,90,0.9584999999999999,450,0.9863333333333333,900,0.9903333333333333,,,,
ET3,noisy,stage7_modality_combinations,raw_time_only,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,ET three-arm network-SNR A90 approximation,100.0,20.0,27.413530636754054,"[0.25, 0.5, 1.0, 2.0, 4.0]",raw_time,0.1375,0.4131666666666667,0.5318333333333334,,6000,0.13516666666666666,0.405,0.5298333333333334,0.6326666666666667,0.6893333333333334,0.8475,9.0,90,0.6778333333333333,450,0.8386666666666667,900,0.9093333333333333,1.0,,,
ET3,noisy,stage7_modality_combinations,raw_time_only,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,ET three-arm network-SNR A90 approximation,100.0,20.0,27.413530636754054,"[0.25, 0.5, 1.0, 2.0, 4.0]",raw_time,0.1375,0.4131666666666667,0.5318333333333334,,3000,0.009666666666666667,0.052333333333333336,0.102,0.2653333333333333,0.37866666666666665,0.695,188.0,90,0.3556666666666667,450,0.6773333333333333,900,0.8186666666666667,1.0,,,
ET3,noisy,stage7_modality_combinations,raw_time_only,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,ET three-arm network-SNR A90 approximation,100.0,20.0,27.413530636754054,"[0.25, 0.5, 1.0, 2.0, 4.0]",raw_time,0.1375,0.4131666666666667,0.5318333333333334,,3000,0.26066666666666666,0.7576666666666667,0.9576666666666667,1.0,1.0,1.0,3.0,90,1.0,450,1.0,900,1.0,1.0,,,
ET3,noisy,stage7_modality_combinations,raw_time_only,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,ET three-arm network-SNR A90 approximation,100.0,20.0,27.413530636754054,"[0.25, 0.5, 1.0, 2.0, 4.0]",raw_time,0.1375,0.4131666666666667,0.5318333333333334,,6000,0.13516666666666666,0.405,0.5298333333333334,0.6326666666666667,0.6893333333333334,0.8474999999999999,95.5,90,0.6778333333333333,450,0.8386666666666667,900,0.9093333333333333,1.0,,,
ET3,noisy,stage7_modality_combinations,liao_time_lr_only,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,ET three-arm network-SNR A90 approximation,100.0,20.0,27.413530636754054,"[0.25, 0.5, 1.0, 2.0, 4.0]",liao_time_lr,0.1405,0.4086666666666667,0.5306666666666666,,6000,0.12966666666666668,0.404,0.5308333333333334,0.6373333333333333,0.6966666666666667,0.855,9.0,90,0.683,450,0.845,900,0.9161666666666667,,1.0,,
ET3,noisy,stage7_modality_combinations,liao_time_lr_only,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,ET three-arm network-SNR A90 approximation,100.0,20.0,27.413530636754054,"[0.25, 0.5, 1.0, 2.0, 4.0]",liao_time_lr,0.1405,0.4086666666666667,0.5306666666666666,,3000,0.012,0.057,0.111,0.27466666666666667,0.3933333333333333,0.71,172.0,90,0.366,450,0.69,900,0.8323333333333334,,1.0,,
