source_index,event_name,run,catalog,gps_time,detectors_available,network_snr,far_per_year,p_astro,mass_1_source,mass_2_source,chirp_mass_source,luminosity_distance,redshift,pe_release_url,pe_waveform_family,pe_doi,sky_map_path,sky_map_format,sky_map_group,sky_map_available,h1_l1_strain_available,embedding_available,object_class,is_ood_for_bbh_encoder,include_in_primary_search,dq_status
0,GW230517_044807,O4a_or_gap,GWTC-4.1,1368334105.4,"H1,L1",11.8,8.5,0.62,,,,,,,,,,,,False,True,False,unknown_OOD,True,False,strain_hdf5_open_ok
1,GW230518_125908,O4a_or_gap,GWTC-4.1,1368449966.2,"H1,L1",14.1,1e-05,0.99,8.17,1.45,2.8,236.0,0.05,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230518_125908-combined_PEDataRelease.hdf5/content,C00:IMRPhenomXPHM-SpinTaylor,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230518_125908/IGWN-GWTC4p1-18965dda8_5-GW230518_125908-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomNSBH:LowSpin,True,True,False,NSBH_or_low_mass_OOD,True,True,strain_hdf5_open_ok
2,GW230528_145129,O4a_or_gap,GWTC-4.1,1369320707.7,"H1,L1",8.8,14.0,0.5,,,,,,,,,,,,False,True,False,unknown_OOD,True,False,strain_hdf5_open_ok
3,GW230529_181500,O4a_or_gap,GWTC-4.1,1369419318.7,L1,11.8,0.00022,0.99,3.66,1.42,1.94,203.0,0.04,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230529_181500-combined_PEDataRelease.hdf5/content,C00:Mixed:HighSpin,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230529_181500/IGWN-GWTC4p1-18965dda8_5-GW230529_181500-combined_PEDataRelease.hdf5,,,False,False,False,NSBH_or_low_mass_OOD,True,False,missing_or_invalid_H1L1
4,GW230531_141100,O4a_or_gap,GWTC-4.1,1369577478.3,L1,8.0,3.5,0.72,,,,,,,,,,,,False,False,False,unknown_OOD,True,False,missing_or_invalid_H1L1
5,GW230601_224134,O4a_or_gap,GWTC-4.1,1369694512.1,"H1,L1",13.4,1e-05,0.99,64.0,44.0,45.1,3700.0,0.6,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230601_224134-combined_PEDataRelease.hdf5/content,C00:Mixed+XO4a,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230601_224134/IGWN-GWTC4p1-18965dda8_5-GW230601_224134-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,True,True,True,BBH,False,True,strain_hdf5_open_ok
6,GW230603_174756,O4a_or_gap,GWTC-4.1,1369849694.9,"H1,L1",8.0,4.0,0.79,,,,,,,,,,,,False,True,False,unknown_OOD,True,False,strain_hdf5_open_ok
7,GW230605_065343,O4a_or_gap,GWTC-4.1,1369983241.5,"H1,L1",11.4,1e-05,0.99,17.4,11.0,11.95,1060.0,0.21,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230605_065343-combined_PEDataRelease.hdf5/content,C00:Mixed+XO4a,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230605_065343/IGWN-GWTC4p1-18965dda8_5-GW230605_065343-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,True,True,True,BBH,False,True,strain_hdf5_open_ok
8,GW230606_004305,O4a_or_gap,GWTC-4.1,1370047403.8,"H1,L1",11.1,0.00041,0.99,37.6,25.7,26.5,2800.0,0.48,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230606_004305-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230606_004305/IGWN-GWTC4p1-18965dda8_5-GW230606_004305-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
9,GW230606_024545,O4a_or_gap,GWTC-4.1,1370054763.5,"H1,L1",7.5,1.5,0.88,,,,,,,,,,,,False,True,False,unknown_OOD,True,False,strain_hdf5_open_ok
