idx,event_name,sky_map_path,source_format,source_group,source_nside,source_ordering,common_nside,map_ra,map_dec,map_max_prob,map_area90_deg2
0,GW230518_125908,data/gwtc4p1/pe_hdf5/GW230518_125908/IGWN-GWTC4p1-18965dda8_5-GW230518_125908-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomNSBH:LowSpin,512,RING,512,5.965651284087259,0.13320608234181996,7.837134034873018e-05,582.2993082548662
1,GW230601_224134,data/gwtc4p1/pe_hdf5/GW230601_224134/IGWN-GWTC4p1-18965dda8_5-GW230601_224134-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,256,RING,512,1.0443206348471565,0.8282572325005475,1.2885836439863452e-05,3091.8791051787
2,GW230605_065343,data/gwtc4p1/pe_hdf5/GW230605_065343/IGWN-GWTC4p1-18965dda8_5-GW230605_065343-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,512,RING,512,4.126408319412374,-0.20853948581851167,3.789155379783062e-05,1183.8236865703507
3,GW230606_004305,data/gwtc4p1/pe_hdf5/GW230606_004305/IGWN-GWTC4p1-18965dda8_5-GW230606_004305-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,512,RING,512,2.48137804025351,0.8231207105285556,2.9866123433169737e-05,1482.6253382287325
4,GW230608_205047,data/gwtc4p1/pe_hdf5/GW230608_205047/IGWN-GWTC4p1-18965dda8_5-GW230608_205047-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,256,RING,512,3.6930424278901293,1.1938087269724686,2.2003821870708092e-05,2281.318153352809
5,GW230609_064958,data/gwtc4p1/pe_hdf5/GW230609_064958/IGWN-GWTC4p1-18965dda8_5-GW230609_064958-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,256,RING,512,3.040349921589341,-0.6602081176233718,2.6358529779056406e-05,1531.330597577393
6,GW230624_113103,data/gwtc4p1/pe_hdf5/GW230624_113103/IGWN-GWTC4p1-18965dda8_5-GW230624_113103-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,512,RING,512,2.478912953223196,-0.6635093329584176,3.022010606285302e-05,1119.0538222938203
7,GW230627_015337,data/gwtc4p1/pe_hdf5/GW230627_015337/IGWN-GWTC4p1-18965dda8_5-GW230627_015337-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,1024,RING,512,1.549877731643875,0.8996516120956273,0.0003851758375376728,276.54725609707947
8,GW230628_231200,data/gwtc4p1/pe_hdf5/GW230628_231200/IGWN-GWTC4p1-18965dda8_5-GW230628_231200-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,512,RING,512,4.546562454006111,0.8691687698208207,5.7248453235587134e-05,648.8002156746447
9,GW230630_125806,data/gwtc4p1/pe_hdf5/GW230630_125806/IGWN-GWTC4p1-18965dda8_5-GW230630_125806-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,256,RING,512,3.411573272257666,-0.0013020837012636122,8.896940925685354e-06,4312.802193660025
