rank,event_i,event_j,final_score,waveform_score,time_score,healpix_sky_score,delta_t_days,healpix_overlap,waveform_available,detector_coverage,snr_ratio,snr_score,empirical_catalog_tail_p
1,GW191219_163120,GW191230_180458,10.267933,0.9174363315105438,1.3872181,-0.467875,11.065023148148148,0.6263318061828613,True,"H1,L1,V1 | H1, L1, V1",1.142857142857143,-0.5826776,0.0005120327700972
2,GW190828_065509,GW200208_130117,9.939393,0.6400571763515472,-0.7353603,-1.548771,164.25426041666833,0.2125089764595031,True,"H1,L1,V1 | H1, L1, V1",1.058823529411765,-0.5050706,0.0010240655401945
3,GW190630_185205,GW190708_232457,9.06508,,1.3745996,-1.8710984,8.189493055556108,0.1539544612169265,False,"L1, V1 | L1, V1",1.2238805970149251,-0.39991537,0.0015360983102918
4,GW191219_163120,GW200112_155838,8.098804,,0.8881655,-1.5832138,23.97728703703593,0.2053141891956329,False,"H1,L1,V1 | L1, V1",2.175824175824176,0.76513433,0.0020481310803891
5,GW190828_063405,GW200208_130117,7.876396,0.7264891564846039,-0.7353603,-3.5282772,164.26889120370424,0.0293554458767175,True,"L1, H1, V1 | H1, L1, V1",1.5277777777777777,-0.021440487,0.0025601638504864
6,GW190630_185205,GW190706_222641,7.5123477,,0.9253319,-2.6770735,6.1490300925931445,0.0687640979886055,False,"L1, V1 | H1, L1",1.2238805970149251,-0.39991537,0.0030721966205837
7,GW190519_153544,GW190925_232845,7.377156,,-0.50255495,-1.2858958,129.32848148148094,0.276402860879898,False,"H1, L1, V1 | H1, V1",1.639175257731959,0.023317559,0.003584229390681
8,GW190925_232845,GW200224_222234,7.190332,,-0.7353603,-1.4030871,151.95404282407628,0.2458368688821792,False,"H1, V1 | H1,L1,V1",2.061855670103093,0.53636026,0.0040962621607782
9,GW190413_134308,GW190707_093326,7.148319,0.9462688267230988,-0.2112781,-1.9503615,84.82659027777612,0.1422226428985595,True,"H1, L1, V1 | H1,L1",1.2358490566037736,-0.39991537,0.0046082949308755
10,GW190413_134308,GW200208_130117,7.0313196,0.6317017823457718,-1.183364,-4.0990605,300.9709398148154,0.0165882501751184,True,"H1, L1, V1 | H1, L1, V1",1.018867924528302,-0.63513094,0.0051203277009728
11,GW190620_030421,GW191219_163120,6.970097,,-0.7353603,-2.027202,182.56040625000165,0.1317035406827926,False,"L1,V1 | H1,L1,V1",1.3296703296703296,-0.4938921,0.0056323604710701
12,GW190708_232457,GW191219_163120,6.8117504,,-0.7353603,-2.117022,163.71276736111275,0.1203896179795265,False,"L1, V1 | H1,L1,V1",1.4725274725274726,-0.029163798,0.0061443932411674
13,GW190706_222641,GW190708_232457,6.7654796,,2.1066623,-1.3622932,2.040462962962963,0.2560728788375854,False,"H1, L1 | L1, V1",1.0,-0.63513094,0.0066564260112647
14,GW190630_185205,GW191129_134029,6.708124,,-0.7353603,-2.9151826,151.7836111111111,0.0541941411793231,False,"L1, V1 | H1 L1",1.2519083969465647,-0.39991537,0.007168458781362
15,GW190413_134308,GW191109_010717,6.6490245,0.9785315990447998,-1.0158585,-2.2860072,209.47509837962963,0.1016716137528419,True,"H1, L1, V1 | H1,L1",1.6320754716981134,0.023317559,0.0076804915514592
16,GW190413_134308,GW190828_063405,6.5917463,0.9345145523548126,-0.50255495,-2.4027739,136.7020486111111,0.0904666557908058,True,"H1, L1, V1 | L1, H1, V1",1.5566037735849056,-0.021440487,0.0081925243215565
17,GW190910_112807,GW200302_015811,6.403458,,-0.7353603,-0.6521988,173.60421527777834,0.5208991765975952,False,"V1, L1 | H1, V1",1.3425925925925926,-0.4938921,0.0087045570916538
18,GW170814,GW191219_163120,6.3672805,0.948263943195343,-2.4442954,-2.250583,857.2504270833344,0.1053377985954284,True,"H1,L1,V1 | H1,L1,V1",1.945054945054945,0.55154765,0.0092165898617511
19,GW190421_213856,GW190925_232845,6.352462,,-0.7353603,-2.1393957,157.076260416665,0.1177259609103202,False,"H1, L1 | H1, V1",1.1030927835051547,-0.5050706,0.0097286226318484
20,GW190707_093326,GW200208_130117,6.1768103,0.6347628384828568,-1.0158585,-4.9141693,216.14434953703923,0.0073418132960796,True,"H1,L1 | H1, L1, V1",1.2129629629629628,-0.5843302,0.0102406554019457
