rank,event_i,event_j,final_score,waveform_score,time_score,healpix_sky_score,delta_t_days,healpix_overlap,waveform_available,full_waveform_scored,pair_has_ood,object_class_i,object_class_j,detector_coverage,snr_ratio,snr_score,empirical_catalog_tail_rank_fraction
1,GW230726_002940,GW230814_230901,9.519176,0.9999896585941315,0.14496483,-0.029082399,19.94400115740796,0.9713364243507385,True,True,False,BBH,BBH,"H1,L1 | H1,L1",4.095238095238095,0.49845973,0.00028686173264486515
2,GW231231_154016,GW240104_164932,7.1047654,0.9483487904071808,0.72371477,-0.06220284,4.048100694442788,0.9396922588348389,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.1044776119402986,-0.7520128,0.0005737234652897303
3,GW231223_202619,GW231231_154016,6.1307454,0.96054807305336,0.3064856,-0.3404764,7.80136226851907,0.7114313244819641,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.3267326732673268,-0.3299174,0.0008605851979345956
4,GW231223_202619,GW240104_164932,6.0378475,0.9984946846961975,0.5091429,-0.16190614,11.849462962961859,0.8505210280418396,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.4653465346534655,0.33563223,0.0011474469305794606
5,GW231118_090602,GW231119_075248,5.408998,0.9901091754436493,1.9103365,-1.3953378,0.9491446759248221,0.24774932861328125,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.325301204819277,-0.3299174,0.001434308663224326
6,GW230708_230935,GW230709_122727,5.3553863,0.9917560815811157,2.4822657,-1.8714507,0.5540706018524038,0.15390023589134216,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.02,-0.7915436,0.0017211703958691911
7,GW231230_170116,GW231231_154016,5.335379,0.6787752211093903,1.9103365,-0.8321526,0.9437465277783297,0.4351116418838501,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.6341463414634148,0.5960307,0.002008032128514056
8,GW230707_124047,GW230708_230935,5.1586304,0.9856936633586884,1.6632715,-1.1792246,1.4366689814820335,0.30751708149909973,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.19,-0.65255636,0.002294893861158921
9,GW230824_033047,GW230825_041334,5.085363,0.9873631596565247,1.7980692,-0.74167454,1.0297083333327814,0.4763156473636627,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.2613636363636362,-0.50567925,0.0025817555938037868
10,GW230930_110730,GW231001_140220,4.873453,0.923839807510376,1.7980692,-1.4076262,1.1214155092587073,0.24472352862358093,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.2777777777777777,-0.50567925,0.002868617326448652
11,GW231118_005626,GW231118_071402,4.7549367,0.9889440536499023,2.40114,-3.4993243,0.2622152777788816,0.030217794701457024,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.1630434782608696,-0.65255636,0.003155479059093517
12,GW231118_071402,GW231118_090602,4.745661,0.9641043245792389,2.3128474,-2.5731573,0.07777546296241107,0.07629428058862686,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.1956521739130437,-0.65255636,0.0034423407917383822
