rank,event_i,event_j,final_score,waveform_score,time_score,healpix_sky_score,delta_t_days,healpix_overlap,waveform_available,full_waveform_scored,pair_has_ood,object_class_i,object_class_j,detector_coverage,snr_ratio,snr_score,empirical_catalog_tail_rank_fraction
1,GW230726_002940,GW230814_230901,10.779313,0.9999896585941315,0.14496483,-0.029082399,19.94400115740796,0.9713364243507385,True,True,False,BBH,BBH,"H1,L1 | H1,L1",4.095238095238095,0.49845973,0.00028686173264486515
2,GW231231_154016,GW240104_164932,10.558942,0.9483487904071808,0.72371477,-0.06220284,4.048100694442788,0.9396922588348389,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.1044776119402986,-0.7520128,0.0005737234652897303
3,GW230630_125806,GW230707_124047,10.238679,0.9589120149612427,0.60855174,-0.15947676,6.987967592590937,0.8525897860527039,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.3222222222222222,-0.3299174,0.0008605851979345956
4,GW230911_195324,GW231029_111508,10.17763,,-0.46470466,-0.2177281,47.64009953703593,0.804344117641449,False,False,False,BBH,BBH,"H1,L1 | L1",1.0277777777777777,-0.7915436,0.0011474469305794606
5,GW230726_002940,GW231231_154016,10.1307125,0.4245058745145798,-0.91269135,-0.06229571,158.6323680555572,0.9396049976348877,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.2761904761904763,-0.50567925,0.001434308663224326
6,GW230726_002940,GW240104_164932,10.094886,0.5463590621948242,-0.91269135,-0.06847553,162.68046875,0.9338163137435913,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.4095238095238096,0.049324512,0.0017211703958691911
7,GW230814_230901,GW231231_154016,9.944515,0.42417633533477783,-1.0540919,-0.06721181,138.68836689814924,0.9349971413612366,True,True,False,BBH,BBH,"H1,L1 | H1,L1",3.2089552238805967,1.2351207,0.002008032128514056
8,GW230814_230901,GW240104_164932,9.824927,0.546023890376091,-1.0540919,-0.09001506,142.73646759259205,0.9139174222946167,True,True,False,BBH,BBH,"H1,L1 | H1,L1",2.9054054054054053,1.3819606,0.002294893861158921
9,GW231223_202619,GW240104_164932,9.755008,0.9984946846961975,0.5091429,-0.16190614,11.849462962961859,0.8505210280418396,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.4653465346534655,0.33563223,0.0025817555938037868
10,GW231029_111508,GW240109_050431,9.651241,,-0.76458937,-0.2767786,71.74262731481481,0.7582223415374756,False,False,False,BBH,BBH,L1 | H1,1.0384615384615385,-0.7915436,0.002868617326448652
11,GW230911_195324,GW231231_154016,9.443274,0.9609679579734802,-0.98785776,-0.19035526,110.82421875,0.8266654014587402,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.2072072072072073,-0.65255636,0.003155479059093517
12,GW230814_230901,GW230911_195324,9.189477,0.5360786318778992,0.09791964,-0.3210216,27.86414814814925,0.725407600402832,True,True,False,BBH,BBH,"H1,L1 | H1,L1",3.873873873873874,0.32038963,0.0034423407917383822
13,GW230726_002940,GW230911_195324,9.181237,0.5364619493484497,-0.46470466,-0.27668035,47.80814930555721,0.7582968473434448,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.0571428571428572,-0.9062731,0.0037292025243832474
14,GW231223_202619,GW231231_154016,8.849257,0.96054807305336,0.3064856,-0.3404764,7.80136226851907,0.7114313244819641,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.3267326732673268,-0.3299174,0.004016064257028112
15,GW230726_002940,GW231223_202619,8.751822,0.5361335426568985,-0.91269135,-0.3001421,150.83100578703815,0.7407129406929016,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.0396039603960396,-0.7915436,0.004302925989672977
16,GW230911_195324,GW240104_164932,8.704319,0.9985122084617615,-1.0540919,-0.30852944,114.8723194444428,0.7345263361930847,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.3333333333333335,-0.3299174,0.004589787722317842
17,GW231029_111508,GW231231_154016,8.533848,,-0.48126355,-0.46041647,63.18411921296407,0.6310207843780518,False,False,False,BBH,BBH,"L1 | H1,L1",1.2407407407407407,-0.50567925,0.004876649454962708
18,GW230930_110730,GW231129_081745,8.486208,0.9485567510128021,-0.48126355,-0.71305865,59.88212037036816,0.49014273285865784,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.0444444444444445,-0.7915436,0.0051635111876075735
